Shipment_ID,Order_ID,Dispatch_Date,Carrier,Warehouse_ID,Estimated_Delivery,Shipment_Status
SHP0001,ORD0001,02-Apr-2026,Blue Dart,WH001,05-Apr-2026,Delivered
SHP0002,ORD0002,03-Apr-2026,Delhivery,WH002,06-Apr-2026,Delivered
SHP0003,ORD0003,04-Apr-2026,Blue Dart,WH003,07-Apr-2026,Delivered
SHP0004,ORD0004,05-Apr-2026,Ecom Express,WH004,08-Apr-2026,Delivered
SHP0005,ORD0005,06-Apr-2026,XpressBees,WH005,09-Apr-2026,Delivered
SHP0006,ORD0006,07-Apr-2026,Blue Dart,WH001,10-Apr-2026,Delivered
SHP0007,ORD0007,08-Apr-2026,Ecom Express,WH002,11-Apr-2026,Delivered
SHP0008,ORD0008,09-Apr-2026,Ecom Express,WH003,12-Apr-2026,Delivered
SHP0009,ORD0009,10-Apr-2026,Ecom Express,WH004,13-Apr-2026,Delivered
SHP0010,ORD0010,11-Apr-2026,XpressBees,WH005,14-Apr-2026,Delivered
SHP0011,ORD0011,12-Apr-2026,Blue Dart,WH001,15-Apr-2026,Delivered
SHP0012,ORD0012,13-Apr-2026,XpressBees,WH002,16-Apr-2026,Delivered
SHP0013,ORD0013,14-Apr-2026,Delhivery,WH003,17-Apr-2026,Delivered
SHP0014,ORD0014,15-Apr-2026,Blue Dart,WH004,18-Apr-2026,Delivered
SHP0015,ORD0015,16-Apr-2026,Blue Dart,WH005,19-Apr-2026,Delivered
SHP0016,ORD0016,17-Apr-2026,Ecom Express,WH001,20-Apr-2026,Delivered
SHP0017,ORD0017,18-Apr-2026,XpressBees,WH002,21-Apr-2026,Delivered
SHP0018,ORD0018,19-Apr-2026,XpressBees,WH003,22-Apr-2026,Delivered
SHP0019,ORD0019,20-Apr-2026,DTDC,WH004,23-Apr-2026,Delivered
SHP0020,ORD0020,21-Apr-2026,Ecom Express,WH005,24-Apr-2026,Delivered
SHP0021,ORD0021,22-Apr-2026,Ecom Express,WH001,25-Apr-2026,Delivered
SHP0022,ORD0022,23-Apr-2026,Blue Dart,WH002,26-Apr-2026,Delivered
SHP0023,ORD0023,24-Apr-2026,Delhivery,WH003,27-Apr-2026,Delivered
SHP0024,ORD0024,25-Apr-2026,Blue Dart,WH004,28-Apr-2026,Delivered
SHP0025,ORD0025,26-Apr-2026,Blue Dart,WH005,29-Apr-2026,Delivered
SHP0026,ORD0026,27-Apr-2026,XpressBees,WH001,30-Apr-2026,Delivered
SHP0027,ORD0027,28-Apr-2026,Delhivery,WH002,01-May-2026,Delivered
SHP0028,ORD0028,29-Apr-2026,Delhivery,WH003,02-May-2026,Delivered
SHP0029,ORD0029,30-Apr-2026,Blue Dart,WH004,03-May-2026,Delivered
SHP0030,ORD0030,01-May-2026,Delhivery,WH005,04-May-2026,Delivered
SHP0031,ORD0031,02-May-2026,Delhivery,WH001,05-May-2026,Delivered
SHP0032,ORD0032,03-May-2026,XpressBees,WH002,06-May-2026,Delivered
SHP0033,ORD0033,04-May-2026,Ecom Express,WH003,07-May-2026,Delivered
SHP0034,ORD0034,05-May-2026,DTDC,WH004,08-May-2026,Delivered
SHP0035,ORD0035,06-May-2026,Delhivery,WH005,09-May-2026,Delivered
SHP0036,ORD0036,07-May-2026,DTDC,WH001,10-May-2026,Delivered
SHP0037,ORD0037,08-May-2026,Blue Dart,WH002,11-May-2026,Delivered
SHP0038,ORD0038,09-May-2026,DTDC,WH003,12-May-2026,Delivered
SHP0039,ORD0039,10-May-2026,XpressBees,WH004,13-May-2026,Delivered
SHP0040,ORD0040,11-May-2026,XpressBees,WH005,14-May-2026,Delivered
SHP0041,ORD0041,12-May-2026,Delhivery,WH001,15-May-2026,Delivered
SHP0042,ORD0042,13-May-2026,Ecom Express,WH002,16-May-2026,Delivered
SHP0043,ORD0043,14-May-2026,Ecom Express,WH003,17-May-2026,Delivered
SHP0044,ORD0044,15-May-2026,XpressBees,WH004,18-May-2026,Delivered
SHP0045,ORD0045,16-May-2026,Delhivery,WH005,19-May-2026,Delivered
SHP0046,ORD0046,17-May-2026,Blue Dart,WH001,20-May-2026,Delivered
SHP0047,ORD0047,18-May-2026,Blue Dart,WH002,21-May-2026,Delivered
SHP0048,ORD0048,19-May-2026,Delhivery,WH003,22-May-2026,Delivered
SHP0049,ORD0049,20-May-2026,XpressBees,WH004,23-May-2026,Delivered
SHP0050,ORD0050,21-May-2026,XpressBees,WH005,24-May-2026,Delivered
SHP0051,ORD0051,22-May-2026,XpressBees,WH001,25-May-2026,Delivered
SHP0052,ORD0052,23-May-2026,Ecom Express,WH002,26-May-2026,Delivered
SHP0053,ORD0053,24-May-2026,Blue Dart,WH003,27-May-2026,Delivered
SHP0054,ORD0054,25-May-2026,DTDC,WH004,28-May-2026,Delivered
SHP0055,ORD0055,26-May-2026,DTDC,WH005,29-May-2026,Delivered
SHP0056,ORD0056,27-May-2026,XpressBees,WH001,30-May-2026,Delivered
SHP0057,ORD0057,28-May-2026,Blue Dart,WH002,31-May-2026,Delivered
SHP0058,ORD0058,29-May-2026,DTDC,WH003,01-Jun-2026,Delivered
SHP0059,ORD0059,30-May-2026,Ecom Express,WH004,02-Jun-2026,Delivered
SHP0060,ORD0060,31-May-2026,DTDC,WH005,03-Jun-2026,Delivered
SHP0061,ORD0061,01-Jun-2026,Ecom Express,WH001,04-Jun-2026,Delivered
SHP0062,ORD0062,02-Jun-2026,Delhivery,WH002,05-Jun-2026,Delivered
SHP0063,ORD0063,03-Jun-2026,Ecom Express,WH003,06-Jun-2026,Delivered
SHP0064,ORD0064,04-Jun-2026,Blue Dart,WH004,07-Jun-2026,Delivered
SHP0065,ORD0065,05-Jun-2026,XpressBees,WH005,08-Jun-2026,Delivered
SHP0066,ORD0066,06-Jun-2026,DTDC,WH001,09-Jun-2026,Delivered
SHP0067,ORD0067,07-Jun-2026,Delhivery,WH002,10-Jun-2026,Delivered
SHP0068,ORD0068,08-Jun-2026,Ecom Express,WH003,11-Jun-2026,Delivered
SHP0069,ORD0069,09-Jun-2026,XpressBees,WH004,12-Jun-2026,Delivered
SHP0070,ORD0070,10-Jun-2026,Ecom Express,WH005,13-Jun-2026,Delivered
SHP0071,ORD0071,11-Jun-2026,Delhivery,WH001,14-Jun-2026,Delivered
SHP0072,ORD0072,12-Jun-2026,Ecom Express,WH002,15-Jun-2026,Delivered
SHP0073,ORD0073,13-Jun-2026,Ecom Express,WH003,16-Jun-2026,Delivered
SHP0074,ORD0074,14-Jun-2026,XpressBees,WH004,17-Jun-2026,Delivered
SHP0075,ORD0075,15-Jun-2026,Delhivery,WH005,18-Jun-2026,Delivered
SHP0076,ORD0076,16-Jun-2026,XpressBees,WH001,19-Jun-2026,Delivered
SHP0077,ORD0077,17-Jun-2026,DTDC,WH002,20-Jun-2026,Delivered
SHP0078,ORD0078,18-Jun-2026,XpressBees,WH003,21-Jun-2026,Delivered
SHP0079,ORD0079,19-Jun-2026,Delhivery,WH004,22-Jun-2026,Delivered
