feature_record_id,shipment_id,feature_timestamp,route_delay_rate,carrier_reliability_score,weather_severity_score,feature_vector_json
8baabc46-95cd-4d9c-9fd9-4b8eb44d6e50,5fd50c5c-973f-43bc-a629-06e4b5cd541b,2026-01-01 16:15:00,18.17,62.06,5.0,"{""route_delay_rate"":18.17,""carrier_reliability_score"":62.06,""weather_severity_score"":5.0,""customs_required"":true,""documentation_complete"":true,""priority"":""Normal"",""shipping_mode"":""Sea""}"
b2e1dbd1-2967-4495-9200-5174f059e782,0b3e6b43-595b-47e2-b040-e49c8abc0fc3,2025-08-31 10:15:00,20.58,76.29,100.0,"{""route_delay_rate"":20.58,""carrier_reliability_score"":76.29,""weather_severity_score"":100,""customs_required"":true,""documentation_complete"":true,""priority"":""Urgent"",""shipping_mode"":""Road""}"
4c24d549-df70-4f81-8bea-f870c2fed0ea,eb90f8ca-5c5e-4cf8-942a-d65b9c1d8fd1,2026-04-05 20:15:00,65.67,76.28,5.0,"{""route_delay_rate"":65.67,""carrier_reliability_score"":76.28,""weather_severity_score"":5.0,""customs_required"":true,""documentation_complete"":true,""priority"":""Low"",""shipping_mode"":""Sea""}"
7734a5f7-a7aa-4d9d-b82e-b337c68c6b69,191fe38a-84f0-4897-83f3-9a017c58ff3b,2025-09-12 14:00:00,52.73,69.98,43.65,"{""route_delay_rate"":52.73,""carrier_reliability_score"":69.98,""weather_severity_score"":43.65,""customs_required"":true,""documentation_complete"":true,""priority"":""Normal"",""shipping_mode"":""Sea""}"
1c5be29c-75cd-48f7-9304-fd07768a942c,7412c2d3-27ea-4c30-82a6-52ec50628f39,2025-02-19 18:15:00,18.63,86.29,43.9,"{""route_delay_rate"":18.63,""carrier_reliability_score"":86.29,""weather_severity_score"":43.9,""customs_required"":false,""documentation_complete"":true,""priority"":""Normal"",""shipping_mode"":""Road""}"
3d26c53d-2aec-4755-a3f0-9795986a3407,73a69323-1d7f-42d2-849c-be60d0644392,2025-02-06 13:45:00,92.0,83.46,43.05,"{""route_delay_rate"":92,""carrier_reliability_score"":83.46,""weather_severity_score"":43.05,""customs_required"":true,""documentation_complete"":false,""priority"":""Low"",""shipping_mode"":""Sea""}"
19579ddf-2927-4607-ac0e-6632de3885bc,6cfe3c87-a603-4517-9471-1a5c2bff4922,2025-12-05 13:15:00,69.95,68.1,18.13,"{""route_delay_rate"":69.95,""carrier_reliability_score"":68.1,""weather_severity_score"":18.13,""customs_required"":false,""documentation_complete"":true,""priority"":""Normal"",""shipping_mode"":""Sea""}"
037241d0-592d-40b8-a5c0-d8cbed873ee1,944b0f0f-5828-4038-b55e-3782cd646852,2025-04-26 08:15:00,16.31,67.58,5.0,"{""route_delay_rate"":16.31,""carrier_reliability_score"":67.58,""weather_severity_score"":5.0,""customs_required"":true,""documentation_complete"":true,""priority"":""High"",""shipping_mode"":""Rail""}"
6bc1aba7-ef5e-4208-aa13-ea95f5a06352,c4288638-6002-4895-b2a2-2532892a5873,2025-08-19 12:15:00,21.5,83.79,43.32,"{""route_delay_rate"":21.5,""carrier_reliability_score"":83.79,""weather_severity_score"":43.32,""customs_required"":true,""documentation_complete"":true,""priority"":""Normal"",""shipping_mode"":""Road""}"
ca6fcda3-c269-4e46-8285-a9d7912a210e,dc3c6115-c547-47b6-a02e-d6a0d3aab8cc,2025-11-11 12:30:00,49.06,88.98,77.26,"{""route_delay_rate"":49.06,""carrier_reliability_score"":88.98,""weather_severity_score"":77.26,""customs_required"":false,""documentation_complete"":true,""priority"":""Urgent"",""shipping_mode"":""Sea""}"
3aee2053-356e-4c77-abed-983d6e5b9f93,edfb13c9-5c5c-4efa-ac76-6a249f734b1b,2025-03-09 12:30:00,29.4,72.85,18.31,"{""route_delay_rate"":29.4,""carrier_reliability_score"":72.85,""weather_severity_score"":18.31,""customs_required"":false,""documentation_complete"":true,""priority"":""Low"",""shipping_mode"":""Sea""}"
51942914-2c66-4fc1-9a02-8f63a0917469,577c2cd1-818c-4499-be55-334e5e7baac5,2025-03-07 10:15:00,27.88,64.31,5.0,"{""route_delay_rate"":27.88,""carrier_reliability_score"":64.31,""weather_severity_score"":5.0,""customs_required"":true,""documentation_complete"":true,""priority"":""Low"",""shipping_mode"":""Road""}"
f77922d1-6615-469a-a56f-58921f3e7c88,ff378584-ae85-409c-9049-0d9b8b25a168,2025-10-04 12:45:00,33.21,81.38,5.0,"{""route_delay_rate"":33.21,""carrier_reliability_score"":81.38,""weather_severity_score"":5.0,""customs_required"":false,""documentation_complete"":true,""priority"":""Normal"",""shipping_mode"":""Road""}"
55575147-f236-4eca-b11f-4c378124464a,780270c0-a7e2-4ac1-a62d-b9040b3a11bb,2025-02-02 12:30:00,32.89,92.3,44.21,"{""route_delay_rate"":32.89,""carrier_reliability_score"":92.3,""weather_severity_score"":44.21,""customs_required"":false,""documentation_complete"":true,""priority"":""High"",""shipping_mode"":""Sea""}"
78deb925-ea20-45e0-a490-70109dbee08e,ea76f869-1f9d-43e9-9684-95e644434ab5,2025-06-07 09:15:00,50.24,92.19,5.0,"{""route_delay_rate"":50.24,""carrier_reliability_score"":92.19,""weather_severity_score"":5.0,""customs_required"":false,""documentation_complete"":true,""priority"":""High"",""shipping_mode"":""Rail""}"
fa060596-4b0e-4f67-a2f7-a90b10e5427e,e7e53f76-9c14-4422-af6b-a831187c2ea7,2025-01-28 20:15:00,45.98,90.41,5.0,"{""route_delay_rate"":45.98,""carrier_reliability_score"":90.41,""weather_severity_score"":5.0,""customs_required"":true,""documentation_complete"":false,""priority"":""Normal"",""shipping_mode"":""Air""}"
e7fccbf8-4703-4864-8dcf-171b119f93c4,103b51ba-50c7-41ba-a79c-850e5c583c38,2025-04-03 16:45:00,26.49,64.14,5.0,"{""route_delay_rate"":26.49,""carrier_reliability_score"":64.14,""weather_severity_score"":5.0,""customs_required"":true,""documentation_complete"":true,""priority"":""Normal"",""shipping_mode"":""Sea""}"
9a040293-74ca-4cb2-a1e8-81a236601e10,3ea44901-2d7b-4a8b-b93d-94466cf17827,2025-03-25 09:00:00,42.02,72.68,5.0,"{""route_delay_rate"":42.02,""carrier_reliability_score"":72.68,""weather_severity_score"":5.0,""customs_required"":true,""documentation_complete"":true,""priority"":""High"",""shipping_mode"":""Road""}"
2562c8ab-da60-4cb8-bd4d-4bf4d2ebf985,f00cca3f-8191-49ab-9441-e8534a7828fa,2025-07-04 16:00:00,28.0,86.32,18.01,"{""route_delay_rate"":28.0,""carrier_reliability_score"":86.32,""weather_severity_score"":18.01,""customs_required"":false,""documentation_complete"":true,""priority"":""High"",""shipping_mode"":""Road""}"
fa71cfa8-2bae-4390-bcdd-4f05c874e29d,ceba6c0e-8603-4529-9541-6e0f83ca1b4d,2025-05-24 13:15:00,14.5,91.87,18.22,"{""route_delay_rate"":14.5,""carrier_reliability_score"":91.87,""weather_severity_score"":18.22,""customs_required"":false,""documentation_complete"":true,""priority"":""High"",""shipping_mode"":""Road""}"
94773953-09e0-4079-a6bf-d4224e159bc6,c0d5bad1-7e77-47ec-9993-c00c937b14d2,2025-10-22 17:45:00,52.77,79.37,43.94,"{""route_delay_rate"":52.77,""carrier_reliability_score"":79.37,""weather_severity_score"":43.94,""customs_required"":true,""documentation_complete"":true,""priority"":""Normal"",""shipping_mode"":""Road""}"
1cbdf455-17fa-46d3-a34f-2c914c1aa357,6360b19c-ca79-450a-b40c-1a8c5da9f710,2025-04-21 14:45:00,18.53,93.76,5.0,"{""route_delay_rate"":18.53,""carrier_reliability_score"":93.76,""weather_severity_score"":5.0,""customs_required"":true,""documentation_complete"":false,""priority"":""High"",""shipping_mode"":""Sea""}"
15c90d0f-79ec-4697-9050-19bc628f9e2f,d5fa79d0-4747-484f-a2f9-bd89e7ba0222,2025-03-12 17:15:00,40.34,59.06,5.0,"{""route_delay_rate"":40.34,""carrier_reliability_score"":59.06,""weather_severity_score"":5.0,""customs_required"":true,""documentation_complete"":true,""priority"":""Normal"",""shipping_mode"":""Road""}"
8c198608-0a8b-4fdf-93de-40867b2e9c86,66da8ae7-0799-4db5-a7e3-41587b2158bd,2025-11-01 16:15:00,16.46,82.88,44.06,"{""route_delay_rate"":16.46,""carrier_reliability_score"":82.88,""weather_severity_score"":44.06,""customs_required"":true,""documentation_complete"":true,""priority"":""Normal"",""shipping_mode"":""Sea""}"
9f19cc13-736a-43d1-a9bf-7c1eab64fbc0,7c9c0f2b-dde6-4eb9-ac7b-7613ec28c744,2025-12-19 11:30:00,40.9,95.41,5.0,"{""route_delay_rate"":40.9,""carrier_reliability_score"":95.41,""weather_severity_score"":5.0,""customs_required"":true,""documentation_complete"":true,""priority"":""Normal"",""shipping_mode"":""Rail""}"
79664562-5b17-4ab7-b49e-1b5ecb7cbd2f,25cd962f-8773-4c20-9037-5e61103c10bb,2025-07-21 20:30:00,35.4,96.71,5.0,"{""route_delay_rate"":35.4,""carrier_reliability_score"":96.71,""weather_severity_score"":5.0,""customs_required"":false,""documentation_complete"":true,""priority"":""Normal"",""shipping_mode"":""Sea""}"
