model_id,model_name,model_version,model_type,training_dataset_version,artifact_uri,deployment_status
a417fe1f-d2f3-4f5c-a87b-c37ba769653f,document-intelligence,v1.6.6,Anomaly,exim-ds-2024-01,s3://allcargo-exim-models/anomaly/457c928958ba,Testing
5be94ad0-6770-4dda-a982-ff82db9a516e,risk-summary-llm,v4.8.9,Classifier,exim-ds-2024-12,s3://allcargo-exim-models/classifier/c280f88ab811,Production
673978c7-4241-4821-8635-4c86141c50b7,delay-risk-classifier,v3.2.0,Classifier,exim-ds-2025-10,s3://allcargo-exim-models/classifier/c1d86ab62e56,Production
0ab4db0d-0664-4946-a69d-ec1468f101c6,delay-risk-classifier,v4.5.7,LLM,exim-ds-2024-06,s3://allcargo-exim-models/llm/2fe5b5c09c5a,Draft
58d7bd4f-12ab-4b73-bf62-662bdf3324d9,anomaly-detector,v1.2.7,Classifier,exim-ds-2024-10,s3://allcargo-exim-models/classifier/a595eebdf480,Draft
d563fca3-42f1-45ce-b696-a39b65329c05,anomaly-detector,v2.7.9,Classifier,exim-ds-2026-05,s3://allcargo-exim-models/classifier/774ccea1b2aa,Testing
63df5642-1acc-40b9-8ac7-bc4915e9b46c,risk-summary-llm,v2.1.9,Classifier,exim-ds-2025-01,s3://allcargo-exim-models/classifier/9708ccd2c2a0,Production
613e58a6-680a-4d2a-bb62-ad486aec35fa,delay-risk-classifier,v4.8.4,LLM,exim-ds-2024-08,s3://allcargo-exim-models/llm/723f205ee742,Testing
7caf2027-9439-43e9-ad0f-4f0a29655f34,delay-risk-classifier,v4.0.6,Anomaly,exim-ds-2025-12,s3://allcargo-exim-models/anomaly/9962d8aa9bef,Testing
73598cb9-c915-45b3-8909-9420aa05cb9e,eta-regressor,v1.8.4,Classifier,exim-ds-2024-02,s3://allcargo-exim-models/classifier/87a0798ee10e,Testing
