alert_id,shipment_id,inference_id,alert_type,severity,recommended_action,alert_status
6bdb5358-2bc5-47ca-88fc-2d7ee42bfccc,5fd50c5c-973f-43bc-a629-06e4b5cd541b,095fcec2-7a82-43af-9b05-26769481008d,Delay risk,Low,Monitor shipment status and refresh prediction after next tracking update.,Resolved
6e743b61-b210-4872-944e-38c73d7c1fcc,0b3e6b43-595b-47e2-b040-e49c8abc0fc3,13be4421-5667-4ba4-8289-3b0d546c2d97,Anomaly,Medium,Monitor shipment status and refresh prediction after next tracking update.,Acknowledged
1442dd8b-2065-4195-a852-f427f3cb1e05,eb90f8ca-5c5e-4cf8-942a-d65b9c1d8fd1,bae21180-ee84-483e-b9f1-0e55a180c061,Model drift watch,Medium,Monitor shipment status and refresh prediction after next tracking update.,Open
825f4d40-c9fc-48d1-8540-026705637348,191fe38a-84f0-4897-83f3-9a017c58ff3b,0369e41b-4236-4b1e-bfe3-31e62ee8e2ba,Delay risk,Medium,Monitor shipment status and refresh prediction after next tracking update.,Acknowledged
09ef719f-871c-4022-baeb-c68044b66513,7412c2d3-27ea-4c30-82a6-52ec50628f39,ffe2ba9f-0cb0-4e3d-87c8-c090f0392827,Document issue,Low,"Request document review and confirm invoice, packing list, and customs fields.",Open
d4efd2da-5a61-4050-bc6d-cfe15cd8bba4,73a69323-1d7f-42d2-849c-be60d0644392,c9ce40f0-4392-474e-a605-d2dc09e5cd63,Delay risk,High,"Create proactive follow-up task and validate customs, weather, and carrier status.",Resolved
cc6e31ef-fa8d-481e-b10c-7821259ef35d,6cfe3c87-a603-4517-9471-1a5c2bff4922,b06f0543-a566-4ad5-8486-55e88c31ae64,Document issue,Medium,"Request document review and confirm invoice, packing list, and customs fields.",Open
2c92a0c5-d89b-4170-8ebc-c55878d8c7a4,944b0f0f-5828-4038-b55e-3782cd646852,5ffe9d4d-8771-4185-8ce6-6f8dfd336b7b,Document issue,Low,"Request document review and confirm invoice, packing list, and customs fields.",Resolved
f47f999f-0d05-4650-863d-a4006fd41682,c4288638-6002-4895-b2a2-2532892a5873,e4a4242e-3a9c-4586-bf45-006d3c398857,Delay risk,Low,Monitor shipment status and refresh prediction after next tracking update.,Acknowledged
3ab411ac-6464-40b0-a951-0f6acdaaae0f,dc3c6115-c547-47b6-a02e-d6a0d3aab8cc,039b6809-0744-4c9f-a562-b4481878c899,Document issue,Medium,"Request document review and confirm invoice, packing list, and customs fields.",Acknowledged
fddf9e5b-67e5-4e4a-ac53-ba6599ca8b41,edfb13c9-5c5c-4efa-ac76-6a249f734b1b,2660e60a-a22b-455b-86ec-b31a2da0ae82,Document issue,Low,"Request document review and confirm invoice, packing list, and customs fields.",Acknowledged
f366d2c5-422b-42d6-9376-9c4b672619b3,577c2cd1-818c-4499-be55-334e5e7baac5,d2070ca3-5839-41dc-949a-a52d3e26d0c7,Delay risk,Low,Monitor shipment status and refresh prediction after next tracking update.,Resolved
7e86321e-656d-4e10-91c1-bc8199b295ac,ff378584-ae85-409c-9049-0d9b8b25a168,0582fc5d-d239-4c38-bd36-eecdeb553f7b,Document issue,Low,"Request document review and confirm invoice, packing list, and customs fields.",Open
13bee7df-d2ba-4209-a8cc-711b6df006a1,780270c0-a7e2-4ac1-a62d-b9040b3a11bb,86743816-49f7-491f-8ad6-5557ef641765,Document issue,Low,"Request document review and confirm invoice, packing list, and customs fields.",Open
3f516f84-1494-42a6-a31f-1c89ec0517d8,ea76f869-1f9d-43e9-9684-95e644434ab5,12510838-f036-44eb-8744-4d6289357cd3,Customs escalation,Low,Monitor shipment status and refresh prediction after next tracking update.,Resolved
31b63805-1c09-42a3-9b7e-c7492f093e79,e7e53f76-9c14-4422-af6b-a831187c2ea7,e1d218b7-160a-4350-acff-afb466f7a9fa,Delay risk,Low,Monitor shipment status and refresh prediction after next tracking update.,Acknowledged
99447f41-d442-4e5b-92fa-563b29d5bbfb,103b51ba-50c7-41ba-a79c-850e5c583c38,7abd5b63-db9c-49f2-965d-70c98e606d9a,Anomaly,Low,Monitor shipment status and refresh prediction after next tracking update.,Resolved
7d2d3186-e313-4d85-bcee-ff83b5340439,3ea44901-2d7b-4a8b-b93d-94466cf17827,459a48a1-79d8-454e-abe9-893fa8d34498,Delay risk,Low,Monitor shipment status and refresh prediction after next tracking update.,Open
7a957f27-1fa3-4f3e-847c-82792a92274c,f00cca3f-8191-49ab-9441-e8534a7828fa,ca9180ed-16de-46a2-a35e-8158a5445745,Document issue,Low,"Request document review and confirm invoice, packing list, and customs fields.",Acknowledged
33f22cbb-474e-4833-9db3-c28c2d7a7590,ceba6c0e-8603-4529-9541-6e0f83ca1b4d,481836c4-3e88-4d49-8d92-582eedb25a9d,Anomaly,Low,Monitor shipment status and refresh prediction after next tracking update.,Acknowledged
f6dffb2a-2d05-49a6-896f-ae989af2f885,c0d5bad1-7e77-47ec-9993-c00c937b14d2,12a320e6-c5f5-445a-baee-980d63224546,Delay risk,Medium,Monitor shipment status and refresh prediction after next tracking update.,Open
b821664b-9524-49f4-aa41-ceb3c0fa2469,6360b19c-ca79-450a-b40c-1a8c5da9f710,16cee7e5-0059-4105-b274-394046e24085,Anomaly,Low,Monitor shipment status and refresh prediction after next tracking update.,Acknowledged
6bfdaaaf-90e8-49e1-a3fd-c62fad45d07d,d5fa79d0-4747-484f-a2f9-bd89e7ba0222,db408f5c-8449-467f-a04c-c580dd312b37,Document issue,Low,"Request document review and confirm invoice, packing list, and customs fields.",Open
fb3bbf07-0df5-4376-8c80-507e7ad9e04c,66da8ae7-0799-4db5-a7e3-41587b2158bd,1cd87175-4326-42c6-9e10-03a8a349c925,Customs escalation,Low,Monitor shipment status and refresh prediction after next tracking update.,Open
3fd8f22c-cef7-44ca-bf56-d45cdc4c0686,7c9c0f2b-dde6-4eb9-ac7b-7613ec28c744,6c74198b-8212-4337-b520-0c0ce79c1a87,Delay risk,Low,Monitor shipment status and refresh prediction after next tracking update.,Acknowledged
0bacbe3b-0eef-4c6b-8439-c1b35e07d11f,25cd962f-8773-4c20-9037-5e61103c10bb,d230c0d0-5d41-4b5d-b73c-a0979b434a1e,Delay risk,Low,Monitor shipment status and refresh prediction after next tracking update.,Open
01dca565-f2ad-4d8b-a9d2-65473b18f8a8,75c53893-28b0-45be-9002-3e92f9ef35fe,390c3f82-7cf4-4141-a7dd-e0f61f30988e,Delay risk,Medium,Monitor shipment status and refresh prediction after next tracking update.,Open
