carrier_id,carrier_name,carrier_type,average_rating,fleet_size,years_of_service,headquarters
cedba817-bbfa-4736-96d3-6588736ea61d,Maersk 1,Air,4.08,1635,19,Netherlands
d51fc65d-d904-429b-ad01-c4389fb57abc,Maersk 2,Sea,4.72,448,28,Singapore
46c573c6-02da-43eb-b821-734e57e0e6f2,FedEx 3,Air,3.88,3921,10,Germany
a41fe4fa-d110-4753-9e72-9030704f7d43,Kuehne Nagel 4,Road,4.88,3017,3,United States
183d0c1f-f482-4942-b5db-279610bd5be3,DB Schenker 5,Rail,3.89,2059,23,Japan
1fbbce56-0adc-4d2a-823c-4a3e8ed0230a,CMA CGM 6,Sea,3.13,4125,20,United States
f653e461-6afa-46de-b002-587e2f1a4aa5,Emirates SkyCargo 7,Rail,4.48,1132,37,UAE
99174ec4-cedb-4d45-beb8-cdbfc79fa9f4,Maersk 8,Sea,3.48,1076,12,Japan
ffaa50f2-9f27-4bda-b383-2454ae193cc3,DB Schenker 9,Sea,4.48,650,9,South Korea
e32ef0cd-98c5-424c-a963-81a0d3ce8bc2,Emirates SkyCargo 10,Sea,4.17,1338,30,United States
dd4af99f-2fa1-4811-b52f-b7c6efdbf5ad,CMA CGM 11,Road,4.02,2225,10,India
ac190559-b261-489d-9f2d-d49523ab42c3,Blue Dart 12,Road,4.38,3089,8,India
436aaf2c-7146-4ce5-a2df-9d853d6315a6,Hapag-Lloyd 13,Sea,3.97,4144,24,United States
cea57dae-223b-4529-8105-a75038d99ee8,FedEx 14,Sea,3.88,2124,24,Germany
2fc838f8-ebc0-4648-a111-b23bb12d90b4,MSC 15,Air,3.55,1577,26,China
09457fe9-147a-4e5c-8af0-3068218a84eb,DP World Logistics 16,Sea,4.79,3855,14,China
588f651e-da02-4c9c-b1d5-7f7727e38925,Hapag-Lloyd 17,Air,3.13,1221,15,China
dd42b96e-e452-4664-9d09-60843dbf9dd1,Kuehne Nagel 18,Sea,4.4,2821,22,Germany
f7c1c72f-99da-4efb-a375-3a6e50509d8c,DHL 19,Road,4.55,762,24,India
c7122cde-d4a8-486c-9846-a5d14acde1e5,DHL 20,Sea,4.09,236,12,UAE
cdec912c-8e5e-4dd6-9654-ccee8c2fd4b3,Blue Dart 21,Sea,4.62,2411,13,China
281b7868-82d9-47b8-9b24-6f216583361c,Maersk 22,Sea,4.78,837,15,United States
576d54ad-707b-44d6-a400-0069658be197,FedEx 23,Road,3.69,813,6,Germany
c2becd38-fc1a-4d5d-adab-25fab286c098,Hapag-Lloyd 24,Air,4.18,1316,19,South Korea
f38c2a4d-ec76-4b66-a637-3de44aabf7b1,Maersk 25,Sea,3.57,2210,20,Germany
2d7d6c1f-fbe0-4602-9ea1-9aacd4559932,DHL 26,Sea,3.27,4033,36,United States
45b63db3-f315-4de3-bf8d-3dc7dbe65402,FedEx 27,Sea,3.24,3777,24,Germany
7fd92d1e-4a2f-4505-9bf2-728e6586406a,DB Schenker 28,Sea,3.43,1554,9,Singapore
9905b4ee-a999-4362-b648-a6432f908d4e,Allcargo Express 29,Air,3.58,742,9,United States
1d9ea0ab-2b22-4453-8a3a-ae8e6bc413d0,Allcargo Express 30,Rail,3.69,2549,28,Japan
d54f1cfd-5e51-4fd1-ba8b-e244f8e5bd1e,MSC 31,Sea,3.8,3735,29,United States
8e397fbb-1db9-460a-9011-55fcc4961174,CMA CGM 32,Rail,4.37,3355,29,United States
a6fee5cc-9a5b-49b6-8d1a-e4f5eadba5bd,DHL 33,Rail,4.65,3708,36,India
310a9526-a3c6-4a96-a4d7-f4fbe2231d68,Emirates SkyCargo 34,Air,3.61,1488,30,South Korea
b81b40bd-eca8-451b-8cb2-ba718e7323df,Kuehne Nagel 35,Sea,4.39,2202,28,China
7b22389f-a34b-4358-adff-cd3baca6815f,Maersk 36,Road,4.49,862,5,Japan
283c7d34-bd8d-4240-8a0b-dfd2bc4531fa,FedEx 37,Road,4.75,2587,8,UAE
a3adc6c8-7ccf-448d-8504-a1f9eefcb14f,DB Schenker 38,Sea,3.29,408,15,India
e3c3699f-7f1f-48ab-8643-c6cc1a6ecb9b,Emirates SkyCargo 39,Sea,3.88,454,37,Singapore
827e3ade-dc69-4173-a9f0-80c7da890981,DP World Logistics 40,Sea,4.53,1340,30,United Kingdom
e3b60b40-ec7f-4663-bc74-41ad8203284e,Kuehne Nagel 41,Sea,4.55,2357,9,South Korea
97d261ac-b658-4ccb-a9ef-e2ab66ac7060,DB Schenker 42,Road,3.31,2292,32,UAE
b2fc5956-30bb-416a-b3e1-059214854688,Kuehne Nagel 43,Sea,3.39,1919,3,China
4128f913-b5cd-4444-b885-23b49798dda0,Kuehne Nagel 44,Sea,4.64,1486,30,China
d03a5c16-cc52-4a69-abe0-55bfddc27e67,MSC 45,Road,4.5,3289,30,Singapore
2552b925-fdad-4662-9c1d-14360c05ae64,FedEx 46,Sea,4.67,2011,10,UAE
33a13863-7efa-4e92-8f8e-2762fa12deed,FedEx 47,Road,3.31,462,26,Germany
d9b6f2cb-9232-4520-ab86-f3e109b74b23,CMA CGM 48,Air,3.81,205,16,India
a2bedee9-c446-48e6-a0aa-9162559620aa,DP World Logistics 49,Sea,4.51,116,37,India
9dad58ad-74f7-4f43-a195-56102aa17d5f,FedEx 50,Air,3.32,495,37,Netherlands
2caec3a5-1b1b-4f22-bd8a-abdd08c58bc4,DHL 51,Sea,3.98,3011,31,South Korea
dddf7755-6105-4d1e-b86f-75a766ff582a,Blue Dart 52,Rail,4.38,764,14,United States
4e8b4190-c818-4734-9e04-4ff4c95f1423,DP World Logistics 53,Road,3.6,2264,6,Singapore
60a9d1a8-6754-41a7-baf6-1d84b2a69c96,Blue Dart 54,Road,4.79,1722,12,United States
ba667d36-95a5-49cf-8686-9d8e864c55a8,Emirates SkyCargo 55,Sea,4.02,1574,18,Germany
dec64907-f49a-4cc6-8ea6-abc4d602b1ef,FedEx 56,Rail,4.55,2462,30,United Kingdom
