customs_id,customs_required,documentation_complete,inspection_required,cargo_type,destination_country
ea6b2c73-bb95-4260-a8ec-02c33dcdac8b,True,True,False,Textile,Japan
c0a325ea-d1cc-45c6-81d2-e787316a2f57,False,True,False,Perishable,Netherlands
d9193828-989c-4b01-91da-0f591b9f44ad,False,True,False,Perishable,South Korea
3cf0f824-3ea7-4f1f-88f1-236fbbc226d1,True,True,False,Chemical,South Korea
5297d21d-42d2-4c5e-a2ab-68de2aa98e41,False,True,False,Hazardous,China
548b24ae-77a4-43a5-84fd-70aa1ccd9825,True,False,False,Hazardous,United Kingdom
fa70fe65-3e03-4ef8-ab6e-3aa20bb7b180,False,True,False,General,Germany
1647f8c3-fbcf-4be5-ae19-702ad46555c1,True,True,False,Perishable,Japan
62721f18-54f5-40de-a372-83f9d3a2a0bc,True,False,True,Hazardous,United States
d921c42c-8557-4afb-9db0-e0ad1a84f71a,False,True,False,Perishable,Netherlands
4005804b-8a37-4348-9a87-9636d4a608aa,False,True,False,Perishable,Japan
f71d1b5d-4dcb-4ba0-a0b8-8c67a6c4b1c5,True,True,True,General,Netherlands
a3325015-bb2d-4fc5-99bd-3c6acae50746,False,True,False,Hazardous,Japan
76cb2bb4-5940-47e4-90dd-5adcb7ca7f33,True,True,False,Chemical,China
f958bcdb-087f-4e2d-8ddf-73cdc0bf5e96,False,True,False,Perishable,United States
98dc471f-a2c5-4cab-8835-ed4b8389e1c0,False,True,False,Machinery,South Korea
f76b773b-7afb-411d-b8af-434376e0ca51,True,True,False,Hazardous,India
12450e2c-412b-41b2-99b2-91c878a9e49a,True,False,True,Perishable,Japan
bef9a7af-ce07-4425-90b0-a8bf217eba6c,True,True,False,Hazardous,United States
88cf3d21-eb44-4428-b8ef-6d155502a74a,True,True,False,Hazardous,UAE
3d29c002-7c5c-4537-842c-4337ecd9ba7d,True,True,False,General,UAE
597df3a6-b35d-4113-a71a-9a3041517876,True,True,False,General,United Kingdom
a5f0b86a-786d-4bbf-9cba-b15d15f474c9,True,True,False,Hazardous,Netherlands
15797c66-daab-4fc9-b8a9-729f6fa343b0,True,True,False,Textile,Singapore
3dd16b49-ec0f-4a71-8cf1-1f87d8fff49a,True,True,True,Perishable,South Korea
152fe1b4-0fae-465e-9e2d-1d5e3c3a5d9d,True,False,False,Pharma,Netherlands
dde7f91b-6dff-4915-9b4e-4542b1f68aa6,True,False,False,General,China
cad88e9b-2ca8-401f-b703-e64fdacc4dd9,True,False,True,Electronics,Singapore
16ffb6ed-0331-4174-8fa5-8efc679f31e7,False,True,False,Machinery,United States
473dc6c1-1c5b-4a12-b24f-e28cb6254218,True,True,False,Chemical,Germany
472bf87f-0cc3-41b0-bdd7-a33d50b30cc6,True,True,True,Pharma,South Korea
29a9c09c-ec66-46e8-905d-efabddf03035,True,True,False,Textile,South Korea
f4f758b4-70ae-4bda-9cb1-5295ca090af6,True,True,False,Electronics,United Kingdom
a60cbfed-7915-48ef-9146-e184534ea69c,True,True,False,Pharma,Netherlands
17b1bfd4-f0de-489b-b896-8c2afac47c14,True,True,True,Perishable,South Korea
7f528312-5cfc-4d38-8299-a76d904ea823,False,True,False,Chemical,South Korea
c5fba268-0055-483c-b9a4-355a108b648d,False,True,False,Pharma,Germany
e4d13d8e-1648-433d-b867-4ef9983362b8,True,True,False,Electronics,UAE
ab9ea2fb-525b-444c-8545-d6ee4bd4e112,True,False,False,Hazardous,South Korea
4174c625-761b-4795-9b76-b5b1c2b87914,True,False,False,Textile,Japan
a5385b20-f796-4bd7-ac0a-e9b0301e2bad,True,True,False,Chemical,UAE
888d06e3-6bb5-4cf2-be16-3bc5f8e28fcf,True,True,False,General,Netherlands
ee0890f7-4d7d-4725-ab34-1f0564387b28,True,True,False,Perishable,Singapore
8123737e-839b-4849-be9c-4ca5094c32ea,False,True,False,Pharma,UAE
a2c8a8a7-95b8-4335-8d70-d3a31788075d,False,True,False,Electronics,Japan
b228e5a9-8ba9-40f9-95bc-59e525c037d3,True,True,False,Hazardous,UAE
c6d83c36-95d1-4360-b350-e29c96171217,False,True,False,General,China
670933b0-d067-43cd-bc72-e1824aa2e627,False,True,False,Perishable,UAE
5349fdbb-22d7-4a2d-b9e3-e284990d43c3,True,True,False,Perishable,South Korea
17b653d4-8441-4f05-8406-fdfa6cea3616,False,True,False,General,China
4c2c9aa7-ae73-4448-92e4-3442a3092b90,False,True,False,Hazardous,United States
da1b2242-2d97-4cd2-b362-13cd853f9095,False,True,False,Perishable,Netherlands
47bad8e1-dcf0-47cd-bca1-4f516f8ae921,True,True,True,Perishable,India
0fecf95b-d0e3-4231-a511-cf2ad870545f,False,True,False,Chemical,Singapore
1d7fb568-460b-43ea-aa70-654f2d171305,True,True,False,Chemical,India
e411fe76-58b2-4853-b995-7b48ff18eb53,True,True,False,Hazardous,United Kingdom
d6755472-5d5f-4c16-8230-53cccfe1d105,True,True,False,Hazardous,UAE
3dd9c57c-463e-4f07-8df8-e16c86996de0,False,True,False,Machinery,India
aa4457b2-e8d5-4aa7-bb88-f348fcdaf364,False,True,False,Pharma,South Korea
7df42cc2-4f44-43b4-bfc4-6a1a8fdb2631,True,True,False,Pharma,China
c0243110-5319-47cc-9be1-d62c1a97cb06,True,False,False,Hazardous,UAE
236d7996-1b55-4aca-91d7-ce06d294db57,False,True,False,Hazardous,India
a66f1dd2-6513-4234-96fc-01d1099e5195,True,False,False,Pharma,India
e42e7358-df8e-47bd-bae1-8984f3077e34,False,True,False,Pharma,Singapore
676c677b-595f-4be7-938f-1f697d3e460d,True,False,False,Pharma,United States
8ff87e7b-189e-4142-bdf0-efa9508e468a,True,True,False,Pharma,United States
