history_id,shipment_id,actual_delivery_date,delivery_status,delivery_attempts
09a35845-c050-47bf-badb-06bc4fb95131,5fd50c5c-973f-43bc-a629-06e4b5cd541b,2026-01-13,Delivered,2
c565c006-cfaf-4723-a6bc-02a93924f3df,0b3e6b43-595b-47e2-b040-e49c8abc0fc3,2025-09-14,Delayed,1
9ebd52c3-5c48-4685-82ba-ddb07316ae87,eb90f8ca-5c5e-4cf8-942a-d65b9c1d8fd1,2026-04-15,Delivered,2
fa70e7f5-481e-4ef0-925b-859ff9e1c477,191fe38a-84f0-4897-83f3-9a017c58ff3b,2025-09-18,Delivered,2
7bafb062-044f-4bff-b6e2-e8d7df4aa928,7412c2d3-27ea-4c30-82a6-52ec50628f39,2025-03-14,Delivered,1
4b62ad11-6858-4e2f-bb51-e1d00228b2a4,73a69323-1d7f-42d2-849c-be60d0644392,2025-02-28,Delayed,4
2fa36a77-80df-4c3e-8c83-1d7cc61e190a,6cfe3c87-a603-4517-9471-1a5c2bff4922,2025-12-31,Delayed,2
986e5852-528d-40d7-8282-32ee88405f3e,944b0f0f-5828-4038-b55e-3782cd646852,2025-05-02,Delivered,2
04b756df-6cde-4720-bb39-1a20cab3d3ea,c4288638-6002-4895-b2a2-2532892a5873,2025-09-06,Delivered,2
7e75b1ac-5ce4-4c0c-80b0-0306b84cda4c,dc3c6115-c547-47b6-a02e-d6a0d3aab8cc,2025-11-23,Delivered,2
f64a4b24-1fb7-4a9b-8ce1-388946f53994,edfb13c9-5c5c-4efa-ac76-6a249f734b1b,2025-03-21,Delivered,1
0e883021-8a95-44c5-9a20-bf4e9771eca7,577c2cd1-818c-4499-be55-334e5e7baac5,2025-03-28,Delivered,2
698f515c-0245-4622-9968-67c8ad419415,ff378584-ae85-409c-9049-0d9b8b25a168,2025-10-14,Delivered,2
1fd2ac62-b503-4cf8-b66b-82b53f2b803a,780270c0-a7e2-4ac1-a62d-b9040b3a11bb,2025-03-03,Delayed,1
5c9269ab-39da-4230-b261-0f14922373a3,ea76f869-1f9d-43e9-9684-95e644434ab5,2025-07-02,Delayed,2
