vehicle_id,vehicle_number,vehicle_type,capacity_kg,fuel_type,maintenance_status,vehicle_age
a7a7c694-8da6-4c10-a00e-367e67b16b2d,RA-3523-1,Rail,435344.38,Diesel,Good,12
3bbb8d1f-7437-414c-b6c5-54811ee9b089,AI-2594-2,Aircraft,42726.82,Diesel,Good,3
f4219601-9795-4759-869e-4ba51327cbda,TR-5957-3,Truck,16269.83,Diesel,Good,16
6e850d52-93d8-42de-a565-7feb0bb09885,RA-3416-4,Rail,524675.65,Diesel,Good,1
d1487706-470f-4a6e-854d-e3e210944aa2,AI-9426-5,Aircraft,103494.47,Diesel,Good,17
169e89d4-5681-443a-959c-f6fecc59ced4,SH-8084-6,Ship,12081451.59,Diesel,Good,3
10df08f7-1b0e-48b2-a4a5-d4c3d3114822,AI-3272-7,Aircraft,71015.96,Diesel,Under Maintenance,15
c21645c9-5da6-4839-84c8-1d5aa2220bab,TR-3378-8,Truck,18206.46,Diesel,Due Soon,6
45ee22f4-c096-4047-8b70-c6cdf898740e,SH-5531-9,Ship,16269524.57,CNG,Due Soon,5
2c0993d4-a194-4221-9f8c-57b7f9e925dc,SH-1395-10,Ship,1428673.38,Jet Fuel,Good,3
0948efd9-9b14-45ec-bd48-f5569f2a3012,AI-6374-11,Aircraft,109689.12,Electric,Good,3
f6a645a1-d757-4f6b-bd50-4c34345c5d90,TR-5983-12,Truck,16220.78,CNG,Good,17
16a349ea-1a01-4f95-9bc4-eebcb2e046fd,TR-7763-13,Truck,25891.99,Marine Fuel,Good,6
52a896bc-75be-4960-99f0-a66f9a52bccb,AI-1984-14,Aircraft,133925.04,Diesel,Good,2
ac448642-8699-4976-8252-6bc6529b4632,TR-8172-15,Truck,6264.76,Diesel,Good,5
67805b18-26e6-4acf-ad6a-be3ec2acf02f,SH-9302-16,Ship,16055212.13,CNG,Good,7
30f97f84-6ca2-49e3-91b4-196701798a09,TR-8940-17,Truck,8399.23,CNG,Due Soon,1
eb0e6638-2932-44b7-a308-1f973de710e3,SH-4123-18,Ship,12669826.82,Marine Fuel,Good,5
4e7782a1-a2f0-439f-b27e-3db83ab36cd2,TR-3897-19,Truck,8699.67,Diesel,Good,5
0addfaaa-261e-4895-9756-f6efa6fcf48f,SH-7881-20,Ship,24037299.22,Marine Fuel,Due Soon,5
9ab9f828-8b7d-4a55-9d81-9f82199e3730,TR-1334-21,Truck,3872.08,Diesel,Good,5
f506665a-ca56-43ad-9a80-2575a984dbd6,SH-9075-22,Ship,9359833.91,Diesel,Good,13
237bf89f-9075-4570-926f-4fcae7ece44c,AI-1739-23,Aircraft,64174.84,Jet Fuel,Under Maintenance,5
63d03a9c-7737-48eb-b690-729e95b9ea88,RA-5248-24,Rail,165440.85,CNG,Good,11
751a5ad2-195a-4736-a031-d4025a69ade5,TR-9991-25,Truck,3842.37,Marine Fuel,Good,17
cfa3e7a1-a385-45a4-bf39-6fb3cd0a9ce9,SH-3815-26,Ship,3805874.57,Jet Fuel,Good,13
96d3ada6-1c10-4f52-9e8a-18588ca78387,TR-9400-27,Truck,10391.52,Diesel,Good,10
9e1cc56d-2ff5-47bf-aa8e-3697b1d6edba,TR-7543-28,Truck,21441.97,Jet Fuel,Good,17
6bc737c4-c2c1-412b-9d01-898df0db8fa1,TR-4267-29,Truck,14650.85,CNG,Good,16
7f3b5fa2-b614-437b-b9ac-d523d98195bc,AI-3339-30,Aircraft,35131.24,Electric,Good,18
81120500-0ba6-44c4-ae43-32d24cfa4a35,TR-3956-31,Truck,26825.57,Electric,Due Soon,1
f44d1bd9-4235-4e87-88ee-5313d58bd2cc,SH-7447-32,Ship,6907794.56,Diesel,Good,12
09fc9327-3024-431e-a0a8-d158b299a187,SH-3489-33,Ship,21050540.56,Marine Fuel,Good,13
a0e79c01-9450-420b-8464-11230fad91fc,TR-2079-34,Truck,14108.89,Diesel,Good,7
f4f2495b-1e49-4d82-83e7-e75a4b242fae,TR-1611-35,Truck,5246.65,Diesel,Due Soon,13
fd9f2809-312e-45ec-8878-1b9cda840e19,SH-9083-36,Ship,10395349.17,Jet Fuel,Good,11
b4815f67-693a-4364-ac53-890ceef553d9,TR-2637-37,Truck,22571.07,Diesel,Good,12
0736befb-efd0-436a-b1c0-d47037cb39a4,TR-5687-38,Truck,18151.8,Electric,Good,17
8f4484d0-53ad-484c-b22a-d5e9dc8ab9fe,RA-5441-39,Rail,654438.82,Diesel,Good,12
861d4536-ce03-4712-9c39-5b20af8376d6,TR-4727-40,Truck,18716.76,Diesel,Good,3
d3e96a74-393a-476b-8980-442150e0be12,TR-7486-41,Truck,19379.7,Diesel,Good,12
49eb3508-2998-474f-85db-b0c825ee0b62,TR-6336-42,Truck,5891.11,Diesel,Due Soon,12
b8b6ee00-f082-4ebe-9eb2-17e5af85d842,TR-5842-43,Truck,5231.97,Diesel,Due Soon,4
f2ef2d18-6f12-44a7-adfd-ef14634f9472,AI-9014-44,Aircraft,145992.72,Diesel,Due Soon,1
c70993b9-ba57-4caa-af28-8fe7d78fa17c,SH-2556-45,Ship,3486114.86,Marine Fuel,Good,7
4825c2fc-1b47-4208-91aa-eacda1842055,AI-2102-46,Aircraft,82231.32,Jet Fuel,Good,6
d68a5749-334d-4be6-ac3f-d2bf0dc02c98,TR-1140-47,Truck,9157.99,Electric,Due Soon,8
2582d89e-6982-46b1-b503-a478ff0918e3,AI-1273-48,Aircraft,79454.99,Marine Fuel,Good,10
240ec2ab-696a-4341-aea9-c029824fa756,AI-9121-49,Aircraft,116978.07,Diesel,Under Maintenance,6
9c0eddb8-bc51-47a3-a597-4aea01660648,TR-8416-50,Truck,5505.45,Diesel,Good,16
8ae6f19a-e08d-485f-93a0-ce36a471811a,AI-2096-51,Aircraft,132191.61,Diesel,Good,4
b7ffd048-fc1c-448d-b9e7-05a8e212b03b,SH-6057-52,Ship,19468827.5,Jet Fuel,Good,11
f997b6f4-380d-4e63-ab96-5c976bd247db,SH-8808-53,Ship,20817998.92,Marine Fuel,Good,5
4dc55848-fb2c-4f61-97c5-c0c21f7251c0,RA-7256-54,Rail,95022.55,Diesel,Good,12
99a1425b-830c-4543-b60a-4d633c7502e4,SH-8912-55,Ship,4144212.93,Electric,Good,11
f6d3ac45-8dba-4670-b245-427308cfda8e,TR-8888-56,Truck,13738.65,Diesel,Good,3
1a149c99-e3b4-4103-8aaa-f48233e7590f,TR-5598-57,Truck,10834.27,Marine Fuel,Good,14
c809ac34-5a14-476c-929e-a94a02b6a1c3,TR-5360-58,Truck,8952.71,Diesel,Good,6
24c1c6a2-5f56-4813-b37c-6d90ab1b43fa,RA-1250-59,Rail,490428.7,Diesel,Good,14
decf5fae-52ac-4870-b01f-9ead82f39db7,TR-1911-60,Truck,14502.41,Diesel,Good,2
488f9074-53db-468f-9030-01354ec4b881,AI-6157-61,Aircraft,142436.16,CNG,Good,5
9b0d82fa-3470-40e6-b292-78e1413f7246,RA-7334-62,Rail,131624.15,Diesel,Good,1
d4f34582-62c1-4540-8d16-5a52e83a44a6,TR-1886-63,Truck,9966.74,Diesel,Good,11
2109e68a-b6c0-45ef-8f36-6199b7d65f1a,TR-4143-64,Truck,19776.59,Diesel,Good,17
793b4694-4e64-4966-9e07-f4c13bc5e9f9,TR-2887-65,Truck,24165.46,Diesel,Good,9
7f3ebb99-8f3a-4183-9f9b-21422fefb6dd,TR-2925-66,Truck,20641.3,Diesel,Good,16
c8957df4-76ca-4312-861c-98384ea54e77,TR-8278-67,Truck,7741.24,Diesel,Due Soon,11
fc1bf3d3-2259-40b9-89ab-2b6748853f8d,TR-7615-68,Truck,15941.14,Diesel,Good,6
0a30df4e-7c00-472e-a15f-1894d7b27810,AI-1932-69,Aircraft,89649.79,CNG,Good,11
8f86a21d-5c02-4c42-a954-fc89245b1769,AI-6942-70,Aircraft,26794.9,Diesel,Due Soon,9
d86fb2a9-38d8-43f9-9c43-810a40863903,SH-6341-71,Ship,3108003.26,CNG,Due Soon,4
09f50f06-4b44-4822-9693-42f45de309ea,TR-4099-72,Truck,24305.7,Diesel,Good,3
2d136d61-116e-47cc-8c2c-81b9c23c8a71,TR-3229-73,Truck,15119.15,Diesel,Under Maintenance,10
41f3153f-9788-4ee9-9542-3b01b6a0d28d,SH-4398-74,Ship,24871162.98,Marine Fuel,Good,13
0f3bff60-d2e5-4cc2-a9eb-1c03064ba170,TR-8838-75,Truck,20966.45,Diesel,Due Soon,1
c84696bd-8f33-4877-b496-5571a6d7a083,TR-6222-76,Truck,22435.3,Diesel,Good,11
ae9b8fd2-8cd6-4f2b-a770-071209649664,SH-1858-77,Ship,10655561.76,Diesel,Due Soon,8
30c6fe00-89f9-4414-89fd-8e213e1e7659,AI-3737-78,Aircraft,33023.1,Diesel,Due Soon,14
89b7aa3b-1c02-4b55-8a06-4e9b4999c227,AI-4272-79,Aircraft,10538.86,Marine Fuel,Good,13
f015830e-272b-467b-bfee-6e7ea6417e23,TR-7674-80,Truck,14828.89,Diesel,Good,4
c25e9c66-f62a-4f82-b001-3dbf3da2a966,SH-5520-81,Ship,18283390.0,Diesel,Good,9
971f357b-1c6b-4a7e-ad12-a7fe34429242,TR-8901-82,Truck,21060.96,Diesel,Good,8
5e10791f-b022-4323-aa23-651a5bf68792,AI-4834-83,Aircraft,103816.54,Jet Fuel,Good,17
b7241fad-889b-423e-9c71-26726531fd64,TR-4000-84,Truck,15043.5,Diesel,Good,14
c22d2833-a67b-4d51-8f40-459c04f56723,TR-1356-85,Truck,22739.66,CNG,Good,4
47c8390f-683d-47ca-892d-a97738ae6ab7,TR-2759-86,Truck,17193.08,Diesel,Due Soon,9
6584001f-b88a-4473-b286-71c30ec537fe,TR-3221-87,Truck,20797.52,Marine Fuel,Good,5
3c8d019c-b5d7-428d-8004-886c828a4d6f,RA-8812-88,Rail,655341.17,Electric,Due Soon,1
d691cf38-a6c5-457e-958b-37602c456d02,SH-7641-89,Ship,5222478.56,Electric,Due Soon,12
fde0ae77-8a51-4601-9fae-8b708d43299e,TR-7189-90,Truck,7263.34,Diesel,Good,7
01d86ef4-b06b-4786-ab32-b2d3b3976bbf,SH-7339-91,Ship,20253402.7,Diesel,Good,10
e6313f18-f513-4361-8bac-f7832cdf52b1,TR-4809-92,Truck,27774.7,Diesel,Under Maintenance,10
bfb374b7-6494-4307-8680-a9d4295d721f,AI-3457-93,Aircraft,144848.9,Diesel,Good,9
12289090-8d79-4661-9fa3-c1a7a461dafc,TR-2798-94,Truck,9211.73,Marine Fuel,Good,17
98eff4b7-c785-4e59-99e6-f09f52952ff9,TR-9881-95,Truck,21197.6,Jet Fuel,Under Maintenance,9
79f91fc5-430d-417b-9366-85de26cbb855,SH-9084-96,Ship,589319.96,Diesel,Due Soon,11
a6861802-5a91-40db-a173-228ff684bddd,SH-7171-97,Ship,18028214.32,Electric,Good,9
0cab7ad4-b55d-4534-8622-87ef334d8eb3,TR-6834-98,Truck,25304.25,Diesel,Good,8
