warehouse_id,warehouse_name,city,state,warehouse_capacity,current_utilization,warehouse_type
990fca17-5717-4846-9322-f136d8bf02f2,Kolkata Distribution Center 1,Kolkata,Telangana,41441,85.09,Regional
b8f03f8f-2f61-4b7d-938a-ac4ec9859986,Rotterdam Bonded Warehouse 2,Rotterdam,Rotterdam,113408,48.06,Bonded
c14c503a-7156-4257-ba33-df2ab8f94eee,Sharjah Distribution Center 3,Sharjah,Sharjah,94476,78.56,Distribution
5fa90c08-6910-4468-8102-04cc537ece37,Busan Distribution Center 4,Busan,Busan,68375,76.03,Regional
9954930e-d844-419c-9aac-07183d4b2d22,London Fulfilment Center 5,London,London,67404,78.65,Distribution
f8a4da8c-cccd-4198-b23c-a6943dfbfaa4,New York Regional Hub 6,New York,New York,119870,71.33,Distribution
449d5040-a325-4323-b86a-3ec4b689e4f8,Singapore Bonded Warehouse 7,Singapore,Singapore,73848,57.22,Regional
8573d6bb-2741-4ea7-843e-c3c116612077,Los Angeles Distribution Center 8,Los Angeles,Los Angeles,74487,61.95,Regional
a9e02d83-7f41-4316-ba55-1e21a790dbd7,Bremen Bonded Warehouse 9,Bremen,Bremen,116972,77.5,Distribution
7e62f72e-73d7-4ede-9a2d-5871542d6eb8,Manchester Distribution Center 10,Manchester,Manchester,117184,70.14,Distribution
b5b3c257-c6bf-40e6-b0c1-65dc7e5e8356,Singapore Bonded Warehouse 11,Singapore,Singapore,103689,57.82,Distribution
1bbacb09-4686-49af-821a-732f86f69b43,Hamburg Bonded Warehouse 12,Hamburg,Hamburg,115403,68.47,Regional
8c15c593-c618-461a-92ca-4bd3634f4edc,Tokyo Distribution Center 13,Tokyo,Tokyo,47258,72.8,Regional
988d01e1-e2de-4c36-8bd3-000fb1cd611a,Amsterdam Bonded Warehouse 14,Amsterdam,Amsterdam,97326,79.19,Regional
eb33a0a1-eea4-4587-a9ed-c9e454d1e0c2,Singapore Bonded Warehouse 15,Singapore,Singapore,118209,62.68,Distribution
b459b3bf-6467-4fec-8aac-60af3f51d4fe,Tokyo Fulfilment Center 16,Tokyo,Tokyo,31055,81.98,Bonded
fc8dc93d-550f-4086-9992-d441cbff55af,Bremen Bonded Warehouse 17,Bremen,Bremen,83240,67.58,Regional
9c209256-d09b-4031-be07-2397ae7d419c,Hamburg Distribution Center 18,Hamburg,Hamburg,28765,75.83,Distribution
993736f3-73e2-4ccb-8bc3-5b386f22c466,Bengaluru Distribution Center 19,Bengaluru,Gujarat,117568,68.68,Distribution
a855361a-c135-49a2-931f-0dab2d8303e1,Singapore Bonded Warehouse 20,Singapore,Singapore,112452,53.77,Regional
d3d6a273-dc1b-4226-b9bf-7a2bf066c27c,Amsterdam Bonded Warehouse 21,Amsterdam,Amsterdam,16327,69.94,Bonded
