weather_id,city,forecast_date,weather_condition,temperature,rainfall,humidity,wind_speed,visibility
6740d2f9-10b2-4458-8e77-f07d72eeb2e2,Guangzhou,2025-09-04,High Wind,26.03,10.98,30.19,39.45,5.13
ad60ae64-3b4a-4f93-bcb9-ca1c187cb762,Osaka,2026-01-14,Cloudy,20.47,0.55,75.27,5.64,7.78
79d2e740-c5f9-4d76-8fa0-ff163e9509fb,Frankfurt,2025-11-08,Heavy Rain,33.34,69.6,46.37,3.86,3.04
0192617c-038f-47ac-bd12-21877b48ed78,Felixstowe,2025-08-08,Rain,26.8,10.01,55.87,16.05,9.4
33479129-fd5c-4628-aae9-3b8d4501a1fe,Los Angeles,2025-11-13,Cloudy,26.19,1.6,74.59,3.77,8.27
0e61b0dc-03b2-4ff8-bc70-9b3ffd3e7dcd,Sharjah,2026-01-26,Heavy Rain,30.85,71.86,45.7,4.38,1.09
897773d6-2f37-4e14-858d-0b2f8f1faf17,Felixstowe,2025-03-06,Clear,16.5,0.0,44.07,24.26,10.02
c9caaaa7-7942-43d9-833d-834d5cfb1c5c,Chennai,2025-08-23,Storm,29.42,91.02,66.85,52.45,2.39
b8d15f5e-6c4f-4c44-a0ee-b8fe57dd1c95,Houston,2025-05-03,Clear,35.54,0.0,85.36,31.17,14.68
999ea19d-260b-45c7-81c8-3a29f758a98c,Ningbo,2025-09-23,Cloudy,20.89,1.94,59.85,25.45,11.97
5533ceb1-2cb7-4995-9bf6-24e843170823,Singapore,2026-04-24,Cloudy,21.62,3.69,86.51,27.65,11.44
ac6acf79-1110-49dc-9387-c8d646640703,Chicago,2025-03-10,Clear,34.52,0.0,87.0,32.34,11.52
39054c8a-27a7-484d-ac24-a1d5baeff2cc,Bengaluru,2026-01-15,Cloudy,28.24,3.77,64.22,26.91,6.18
c94114a7-ef8e-4a18-90a6-0333e31d5578,Incheon,2026-02-13,Clear,31.95,0.0,64.98,30.02,14.99
622211f6-2e4f-4eca-9a4b-aff32a967249,Hyderabad,2026-01-06,Cloudy,13.94,2.81,44.3,18.22,9.01
a651bbf3-d502-4240-aae0-27b3a45f16b3,Sharjah,2025-04-20,Fog,5.43,1.39,70.37,12.35,0.34
0a93efb0-f77f-4fa9-ac6a-2bb16bd73906,Hamburg,2025-02-22,Clear,13.12,0.0,90.93,5.65,7.98
143df103-e2c9-409d-9b50-0a9238452aa5,Incheon,2026-04-16,Heavy Rain,10.01,55.74,67.49,5.35,2.27
79067d2b-c7dc-488f-bf94-e86a31e5abb0,Houston,2026-01-22,Fog,4.47,11.38,47.96,30.72,0.5
56577622-ef44-47c7-b6bb-087bbf8bad5f,Rotterdam,2025-01-09,Storm,20.93,141.93,86.53,89.35,1.46
