Tracking_ID,Shipment_ID,Event_Date,Status
TRK00001,SHP0001,02-Apr-2026,Picked Up
TRK00002,SHP0001,03-Apr-2026,In Transit
TRK00003,SHP0001,04-Apr-2026,At Destination Hub
TRK00004,SHP0001,05-Apr-2026,Out for Delivery
TRK00005,SHP0001,05-Apr-2026,Delivered
TRK00006,SHP0002,03-Apr-2026,Picked Up
TRK00007,SHP0002,04-Apr-2026,In Transit
TRK00008,SHP0002,05-Apr-2026,At Destination Hub
TRK00009,SHP0002,06-Apr-2026,Out for Delivery
TRK00010,SHP0002,06-Apr-2026,Delivered
TRK00011,SHP0003,04-Apr-2026,Picked Up
TRK00012,SHP0003,05-Apr-2026,In Transit
TRK00013,SHP0003,06-Apr-2026,At Destination Hub
TRK00014,SHP0003,07-Apr-2026,Out for Delivery
TRK00015,SHP0003,07-Apr-2026,Delivered
TRK00016,SHP0004,05-Apr-2026,Picked Up
TRK00017,SHP0004,06-Apr-2026,In Transit
TRK00018,SHP0004,07-Apr-2026,At Destination Hub
TRK00019,SHP0004,08-Apr-2026,Out for Delivery
TRK00020,SHP0004,08-Apr-2026,Delivered
TRK00021,SHP0005,06-Apr-2026,Picked Up
TRK00022,SHP0005,07-Apr-2026,In Transit
TRK00023,SHP0005,08-Apr-2026,At Destination Hub
TRK00024,SHP0005,09-Apr-2026,Out for Delivery
TRK00025,SHP0005,09-Apr-2026,Delivered
TRK00026,SHP0006,07-Apr-2026,Picked Up
TRK00027,SHP0006,08-Apr-2026,In Transit
TRK00028,SHP0006,09-Apr-2026,At Destination Hub
TRK00029,SHP0006,10-Apr-2026,Out for Delivery
TRK00030,SHP0006,10-Apr-2026,Delivered
TRK00031,SHP0007,08-Apr-2026,Picked Up
TRK00032,SHP0007,09-Apr-2026,In Transit
TRK00033,SHP0007,10-Apr-2026,At Destination Hub
TRK00034,SHP0007,11-Apr-2026,Out for Delivery
TRK00035,SHP0007,11-Apr-2026,Delivered
TRK00036,SHP0008,09-Apr-2026,Picked Up
TRK00037,SHP0008,10-Apr-2026,In Transit
TRK00038,SHP0008,11-Apr-2026,At Destination Hub
TRK00039,SHP0008,12-Apr-2026,Out for Delivery
TRK00040,SHP0008,12-Apr-2026,Delivered
TRK00041,SHP0009,10-Apr-2026,Picked Up
TRK00042,SHP0009,11-Apr-2026,In Transit
TRK00043,SHP0009,12-Apr-2026,At Destination Hub
TRK00044,SHP0009,13-Apr-2026,Out for Delivery
TRK00045,SHP0009,13-Apr-2026,Delivered
TRK00046,SHP0010,11-Apr-2026,Picked Up
TRK00047,SHP0010,12-Apr-2026,In Transit
TRK00048,SHP0010,13-Apr-2026,At Destination Hub
TRK00049,SHP0010,14-Apr-2026,Out for Delivery
TRK00050,SHP0010,14-Apr-2026,Delivered
TRK00051,SHP0011,12-Apr-2026,Picked Up
TRK00052,SHP0011,13-Apr-2026,In Transit
TRK00053,SHP0011,14-Apr-2026,At Destination Hub
TRK00054,SHP0011,15-Apr-2026,Out for Delivery
TRK00055,SHP0011,15-Apr-2026,Delivered
