Sheet Name: AI_Model_Registry

model_id: a417fe1f-d2f3-4f5c-a87b-c37ba769653f | model_name: document-intelligence | model_version: v1.6.6 | model_type: Anomaly | training_dataset_version: exim-ds-2024-01 | artifact_uri: s3://allcargo-exim-models/anomaly/457c928958ba | deployment_status: Testing
model_id: 5be94ad0-6770-4dda-a982-ff82db9a516e | model_name: risk-summary-llm | model_version: v4.8.9 | model_type: Classifier | training_dataset_version: exim-ds-2024-12 | artifact_uri: s3://allcargo-exim-models/classifier/c280f88ab811 | deployment_status: Production
model_id: 673978c7-4241-4821-8635-4c86141c50b7 | model_name: delay-risk-classifier | model_version: v3.2.0 | model_type: Classifier | training_dataset_version: exim-ds-2025-10 | artifact_uri: s3://allcargo-exim-models/classifier/c1d86ab62e56 | deployment_status: Production
model_id: 0ab4db0d-0664-4946-a69d-ec1468f101c6 | model_name: delay-risk-classifier | model_version: v4.5.7 | model_type: LLM | training_dataset_version: exim-ds-2024-06 | artifact_uri: s3://allcargo-exim-models/llm/2fe5b5c09c5a | deployment_status: Draft
model_id: 58d7bd4f-12ab-4b73-bf62-662bdf3324d9 | model_name: anomaly-detector | model_version: v1.2.7 | model_type: Classifier | training_dataset_version: exim-ds-2024-10 | artifact_uri: s3://allcargo-exim-models/classifier/a595eebdf480 | deployment_status: Draft
model_id: d563fca3-42f1-45ce-b696-a39b65329c05 | model_name: anomaly-detector | model_version: v2.7.9 | model_type: Classifier | training_dataset_version: exim-ds-2026-05 | artifact_uri: s3://allcargo-exim-models/classifier/774ccea1b2aa | deployment_status: Testing
model_id: 63df5642-1acc-40b9-8ac7-bc4915e9b46c | model_name: risk-summary-llm | model_version: v2.1.9 | model_type: Classifier | training_dataset_version: exim-ds-2025-01 | artifact_uri: s3://allcargo-exim-models/classifier/9708ccd2c2a0 | deployment_status: Production
model_id: 613e58a6-680a-4d2a-bb62-ad486aec35fa | model_name: delay-risk-classifier | model_version: v4.8.4 | model_type: LLM | training_dataset_version: exim-ds-2024-08 | artifact_uri: s3://allcargo-exim-models/llm/723f205ee742 | deployment_status: Testing
model_id: 7caf2027-9439-43e9-ad0f-4f0a29655f34 | model_name: delay-risk-classifier | model_version: v4.0.6 | model_type: Anomaly | training_dataset_version: exim-ds-2025-12 | artifact_uri: s3://allcargo-exim-models/anomaly/9962d8aa9bef | deployment_status: Testing
model_id: 73598cb9-c915-45b3-8909-9420aa05cb9e | model_name: eta-regressor | model_version: v1.8.4 | model_type: Classifier | training_dataset_version: exim-ds-2024-02 | artifact_uri: s3://allcargo-exim-models/classifier/87a0798ee10e | deployment_status: Testing
model_id: b311ebfa-a17e-40d1-abfa-e8ae4039116b | model_name: document-intelligence | model_version: v2.9.9 | model_type: Classifier | training_dataset_version: exim-ds-2024-08 | artifact_uri: s3://allcargo-exim-models/classifier/1d3c10ff5a96 | deployment_status: Production
