Sheet Name: AI_Monitoring_Alerts

alert_id: 6bdb5358-2bc5-47ca-88fc-2d7ee42bfccc | shipment_id: 5fd50c5c-973f-43bc-a629-06e4b5cd541b | inference_id: 095fcec2-7a82-43af-9b05-26769481008d | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: 6e743b61-b210-4872-944e-38c73d7c1fcc | shipment_id: 0b3e6b43-595b-47e2-b040-e49c8abc0fc3 | inference_id: 13be4421-5667-4ba4-8289-3b0d546c2d97 | alert_type: Anomaly | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 1442dd8b-2065-4195-a852-f427f3cb1e05 | shipment_id: eb90f8ca-5c5e-4cf8-942a-d65b9c1d8fd1 | inference_id: bae21180-ee84-483e-b9f1-0e55a180c061 | alert_type: Model drift watch | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: 825f4d40-c9fc-48d1-8540-026705637348 | shipment_id: 191fe38a-84f0-4897-83f3-9a017c58ff3b | inference_id: 0369e41b-4236-4b1e-bfe3-31e62ee8e2ba | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 09ef719f-871c-4022-baeb-c68044b66513 | shipment_id: 7412c2d3-27ea-4c30-82a6-52ec50628f39 | inference_id: ffe2ba9f-0cb0-4e3d-87c8-c090f0392827 | alert_type: Document issue | severity: Low | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Open
alert_id: d4efd2da-5a61-4050-bc6d-cfe15cd8bba4 | shipment_id: 73a69323-1d7f-42d2-849c-be60d0644392 | inference_id: c9ce40f0-4392-474e-a605-d2dc09e5cd63 | alert_type: Delay risk | severity: High | recommended_action: Create proactive follow-up task and validate customs, weather, and carrier status. | alert_status: Resolved
alert_id: cc6e31ef-fa8d-481e-b10c-7821259ef35d | shipment_id: 6cfe3c87-a603-4517-9471-1a5c2bff4922 | inference_id: b06f0543-a566-4ad5-8486-55e88c31ae64 | alert_type: Document issue | severity: Medium | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Open
alert_id: 2c92a0c5-d89b-4170-8ebc-c55878d8c7a4 | shipment_id: 944b0f0f-5828-4038-b55e-3782cd646852 | inference_id: 5ffe9d4d-8771-4185-8ce6-6f8dfd336b7b | alert_type: Document issue | severity: Low | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Resolved
alert_id: f47f999f-0d05-4650-863d-a4006fd41682 | shipment_id: c4288638-6002-4895-b2a2-2532892a5873 | inference_id: e4a4242e-3a9c-4586-bf45-006d3c398857 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 3ab411ac-6464-40b0-a951-0f6acdaaae0f | shipment_id: dc3c6115-c547-47b6-a02e-d6a0d3aab8cc | inference_id: 039b6809-0744-4c9f-a562-b4481878c899 | alert_type: Document issue | severity: Medium | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Acknowledged
alert_id: fddf9e5b-67e5-4e4a-ac53-ba6599ca8b41 | shipment_id: edfb13c9-5c5c-4efa-ac76-6a249f734b1b | inference_id: 2660e60a-a22b-455b-86ec-b31a2da0ae82 | alert_type: Document issue | severity: Low | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Acknowledged
alert_id: f366d2c5-422b-42d6-9376-9c4b672619b3 | shipment_id: 577c2cd1-818c-4499-be55-334e5e7baac5 | inference_id: d2070ca3-5839-41dc-949a-a52d3e26d0c7 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: 7e86321e-656d-4e10-91c1-bc8199b295ac | shipment_id: ff378584-ae85-409c-9049-0d9b8b25a168 | inference_id: 0582fc5d-d239-4c38-bd36-eecdeb553f7b | alert_type: Document issue | severity: Low | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Open
alert_id: 13bee7df-d2ba-4209-a8cc-711b6df006a1 | shipment_id: 780270c0-a7e2-4ac1-a62d-b9040b3a11bb | inference_id: 86743816-49f7-491f-8ad6-5557ef641765 | alert_type: Document issue | severity: Low | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Open
alert_id: 3f516f84-1494-42a6-a31f-1c89ec0517d8 | shipment_id: ea76f869-1f9d-43e9-9684-95e644434ab5 | inference_id: 12510838-f036-44eb-8744-4d6289357cd3 | alert_type: Customs escalation | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: 31b63805-1c09-42a3-9b7e-c7492f093e79 | shipment_id: e7e53f76-9c14-4422-af6b-a831187c2ea7 | inference_id: e1d218b7-160a-4350-acff-afb466f7a9fa | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 99447f41-d442-4e5b-92fa-563b29d5bbfb | shipment_id: 103b51ba-50c7-41ba-a79c-850e5c583c38 | inference_id: 7abd5b63-db9c-49f2-965d-70c98e606d9a | alert_type: Anomaly | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: 7d2d3186-e313-4d85-bcee-ff83b5340439 | shipment_id: 3ea44901-2d7b-4a8b-b93d-94466cf17827 | inference_id: 459a48a1-79d8-454e-abe9-893fa8d34498 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
