Sheet Name: Carriers

carrier_id: cedba817-bbfa-4736-96d3-6588736ea61d | carrier_name: Maersk 1 | carrier_type: Air | average_rating: 4.08 | fleet_size: 1635 | years_of_service: 19 | headquarters: Netherlands
carrier_id: d51fc65d-d904-429b-ad01-c4389fb57abc | carrier_name: Maersk 2 | carrier_type: Sea | average_rating: 4.72 | fleet_size: 448 | years_of_service: 28 | headquarters: Singapore
carrier_id: 46c573c6-02da-43eb-b821-734e57e0e6f2 | carrier_name: FedEx 3 | carrier_type: Air | average_rating: 3.88 | fleet_size: 3921 | years_of_service: 10 | headquarters: Germany
carrier_id: a41fe4fa-d110-4753-9e72-9030704f7d43 | carrier_name: Kuehne Nagel 4 | carrier_type: Road | average_rating: 4.88 | fleet_size: 3017 | years_of_service: 3 | headquarters: United States
carrier_id: 183d0c1f-f482-4942-b5db-279610bd5be3 | carrier_name: DB Schenker 5 | carrier_type: Rail | average_rating: 3.89 | fleet_size: 2059 | years_of_service: 23 | headquarters: Japan
carrier_id: 1fbbce56-0adc-4d2a-823c-4a3e8ed0230a | carrier_name: CMA CGM 6 | carrier_type: Sea | average_rating: 3.13 | fleet_size: 4125 | years_of_service: 20 | headquarters: United States
carrier_id: f653e461-6afa-46de-b002-587e2f1a4aa5 | carrier_name: Emirates SkyCargo 7 | carrier_type: Rail | average_rating: 4.48 | fleet_size: 1132 | years_of_service: 37 | headquarters: UAE
carrier_id: 99174ec4-cedb-4d45-beb8-cdbfc79fa9f4 | carrier_name: Maersk 8 | carrier_type: Sea | average_rating: 3.48 | fleet_size: 1076 | years_of_service: 12 | headquarters: Japan
carrier_id: ffaa50f2-9f27-4bda-b383-2454ae193cc3 | carrier_name: DB Schenker 9 | carrier_type: Sea | average_rating: 4.48 | fleet_size: 650 | years_of_service: 9 | headquarters: South Korea
carrier_id: e32ef0cd-98c5-424c-a963-81a0d3ce8bc2 | carrier_name: Emirates SkyCargo 10 | carrier_type: Sea | average_rating: 4.17 | fleet_size: 1338 | years_of_service: 30 | headquarters: United States
carrier_id: dd4af99f-2fa1-4811-b52f-b7c6efdbf5ad | carrier_name: CMA CGM 11 | carrier_type: Road | average_rating: 4.02 | fleet_size: 2225 | years_of_service: 10 | headquarters: India
carrier_id: ac190559-b261-489d-9f2d-d49523ab42c3 | carrier_name: Blue Dart 12 | carrier_type: Road | average_rating: 4.38 | fleet_size: 3089 | years_of_service: 8 | headquarters: India
carrier_id: 436aaf2c-7146-4ce5-a2df-9d853d6315a6 | carrier_name: Hapag-Lloyd 13 | carrier_type: Sea | average_rating: 3.97 | fleet_size: 4144 | years_of_service: 24 | headquarters: United States
carrier_id: cea57dae-223b-4529-8105-a75038d99ee8 | carrier_name: FedEx 14 | carrier_type: Sea | average_rating: 3.88 | fleet_size: 2124 | years_of_service: 24 | headquarters: Germany
carrier_id: 2fc838f8-ebc0-4648-a111-b23bb12d90b4 | carrier_name: MSC 15 | carrier_type: Air | average_rating: 3.55 | fleet_size: 1577 | years_of_service: 26 | headquarters: China
carrier_id: 09457fe9-147a-4e5c-8af0-3068218a84eb | carrier_name: DP World Logistics 16 | carrier_type: Sea | average_rating: 4.79 | fleet_size: 3855 | years_of_service: 14 | headquarters: China
carrier_id: 588f651e-da02-4c9c-b1d5-7f7727e38925 | carrier_name: Hapag-Lloyd 17 | carrier_type: Air | average_rating: 3.13 | fleet_size: 1221 | years_of_service: 15 | headquarters: China
carrier_id: dd42b96e-e452-4664-9d09-60843dbf9dd1 | carrier_name: Kuehne Nagel 18 | carrier_type: Sea | average_rating: 4.4 | fleet_size: 2821 | years_of_service: 22 | headquarters: Germany
carrier_id: f7c1c72f-99da-4efb-a375-3a6e50509d8c | carrier_name: DHL 19 | carrier_type: Road | average_rating: 4.55 | fleet_size: 762 | years_of_service: 24 | headquarters: India
carrier_id: c7122cde-d4a8-486c-9846-a5d14acde1e5 | carrier_name: DHL 20 | carrier_type: Sea | average_rating: 4.09 | fleet_size: 236 | years_of_service: 12 | headquarters: UAE
carrier_id: cdec912c-8e5e-4dd6-9654-ccee8c2fd4b3 | carrier_name: Blue Dart 21 | carrier_type: Sea | average_rating: 4.62 | fleet_size: 2411 | years_of_service: 13 | headquarters: China
carrier_id: 281b7868-82d9-47b8-9b24-6f216583361c | carrier_name: Maersk 22 | carrier_type: Sea | average_rating: 4.78 | fleet_size: 837 | years_of_service: 15 | headquarters: United States
