Sheet Name: Products

product_id: 0a132cf3-2a67-4087-aff9-d11d19a61cac | product_name: Furniture SKU-10000 | category: Furniture | hs_code: 9403.28 | hazardous: False | perishable: False | temperature_controlled: False | fragile: True | weight_per_unit: 623.92 | supplier_name: Nova Suppliers
product_id: e84bb39c-58c4-4132-92e6-d3e9cbcaf17e | product_name: Textiles SKU-10001 | category: Textiles | hs_code: 6204.24 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 155.43 | supplier_name: Eastern Suppliers
product_id: 981b3490-621a-42fa-9598-eb312fe69165 | product_name: Furniture SKU-10002 | category: Furniture | hs_code: 9403.42 | hazardous: False | perishable: False | temperature_controlled: False | fragile: True | weight_per_unit: 156.51 | supplier_name: Unity Suppliers
product_id: 2724925d-a168-4e0d-80fd-43792b3042ca | product_name: Medical Devices SKU-10003 | category: Medical Devices | hs_code: 9018.26 | hazardous: False | perishable: False | temperature_controlled: True | fragile: True | weight_per_unit: 686.31 | supplier_name: Pacific Suppliers
product_id: 48e370d8-f09f-4cd5-9b22-da21d6c753a2 | product_name: Food SKU-10004 | category: Food | hs_code: 2106.45 | hazardous: False | perishable: False | temperature_controlled: True | fragile: False | weight_per_unit: 428.35 | supplier_name: Eastern Suppliers
product_id: cc159150-bb70-44be-83fb-6d49720a12ef | product_name: Food SKU-10005 | category: Food | hs_code: 2106.73 | hazardous: False | perishable: True | temperature_controlled: False | fragile: False | weight_per_unit: 427.49 | supplier_name: Unity Suppliers
product_id: 10dafb0d-2ce2-4ebb-8a4b-95c8bd35d992 | product_name: Chemicals SKU-10006 | category: Chemicals | hs_code: 3824.59 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 378.94 | supplier_name: Pacific Suppliers
product_id: 42012954-2aa8-4ef7-ae06-59059087196a | product_name: Pharma SKU-10007 | category: Pharma | hs_code: 3004.99 | hazardous: False | perishable: False | temperature_controlled: True | fragile: False | weight_per_unit: 839.71 | supplier_name: Eastern Suppliers
product_id: e0436096-c089-4da8-8f7a-0b1dbaefe142 | product_name: Furniture SKU-10008 | category: Furniture | hs_code: 9403.79 | hazardous: False | perishable: False | temperature_controlled: False | fragile: True | weight_per_unit: 843.88 | supplier_name: Unity Suppliers
product_id: 7925721e-78b7-45ac-b0a6-3fe72f2c1611 | product_name: Pharma SKU-10009 | category: Pharma | hs_code: 3004.4 | hazardous: False | perishable: True | temperature_controlled: True | fragile: False | weight_per_unit: 477.25 | supplier_name: Unity Suppliers
product_id: 8559ab22-5257-4bc0-8dd6-26115d96deb4 | product_name: Chemicals SKU-10010 | category: Chemicals | hs_code: 3824.6 | hazardous: True | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 769.45 | supplier_name: Nova Suppliers
