Sheet Name: Routes

route_id: 3e26abf4-dd1f-4e19-8ed5-ffe4905d68ad | origin_city: Delhi | destination_city: Felixstowe | origin_country: India | destination_country: United Kingdom | origin_port: Mundra Port | destination_port: Port of Felixstowe | distance_km: 2362.24 | average_transit_days: 7 | route_risk: Medium | traffic_index: 59
route_id: 08f37f99-d81e-4b50-8bfc-7a8f52c55352 | origin_city: Dubai | destination_city: Guangzhou | origin_country: UAE | destination_country: China | origin_port: Khalifa Port | destination_port: Shanghai Port | distance_km: 5909.7 | average_transit_days: 11 | route_risk: Medium | traffic_index: 61
route_id: daa7dccb-ed0c-4209-9334-1d610a45fd90 | origin_city: Manchester | destination_city: Houston | origin_country: United Kingdom | destination_country: United States | origin_port: London Gateway | destination_port: Port of LA | distance_km: 7078.61 | average_transit_days: 10 | route_risk: High | traffic_index: 81
route_id: 51b0b9ea-adad-4653-a483-299806a540cf | origin_city: Houston | destination_city: Singapore | origin_country: United States | destination_country: Singapore | origin_port: Port of LA | destination_port: Port of Singapore | distance_km: 7653.63 | average_transit_days: 11 | route_risk: Low | traffic_index: 34
route_id: 966d3609-db70-45a9-b45c-72cdcbe36c5d | origin_city: Felixstowe | destination_city: Bengaluru | origin_country: United Kingdom | destination_country: India | origin_port: London Gateway | destination_port: Mundra Port | distance_km: 1172.25 | average_transit_days: 4 | route_risk: Low | traffic_index: 41
route_id: 31c203c8-94c5-4b9e-950d-465f940e7e13 | origin_city: Yokohama | destination_city: Amsterdam | origin_country: Japan | destination_country: Netherlands | origin_port: Port of Osaka | destination_port: Port of Rotterdam | distance_km: 10423.43 | average_transit_days: 21 | route_risk: Medium | traffic_index: 64
route_id: aa06b85c-2ea3-4ada-becf-db3486529cdd | origin_city: Felixstowe | destination_city: Incheon | origin_country: United Kingdom | destination_country: South Korea | origin_port: Port of Felixstowe | destination_port: Incheon Port | distance_km: 7623.27 | average_transit_days: 14 | route_risk: Medium | traffic_index: 56
route_id: ea77a4ed-6364-4bc6-8360-1f943aa28093 | origin_city: Ningbo | destination_city: Dubai | origin_country: China | destination_country: UAE | origin_port: Shanghai Port | destination_port: Khalifa Port | distance_km: 1676.25 | average_transit_days: 7 | route_risk: Medium | traffic_index: 52
route_id: 68110bbc-ffe9-47a7-abf1-744c11761dd7 | origin_city: Chicago | destination_city: Seoul | origin_country: United States | destination_country: South Korea | origin_port: Port Houston | destination_port: Incheon Port | distance_km: 4091.49 | average_transit_days: 11 | route_risk: Medium | traffic_index: 49
route_id: 5b1ca3ed-f04f-4e15-9fc1-e8e01bca8fb3 | origin_city: Busan | destination_city: Kolkata | origin_country: South Korea | destination_country: India | origin_port: Incheon Port | destination_port: Kolkata Port | distance_km: 3109.88 | average_transit_days: 7 | route_risk: Low | traffic_index: 30
route_id: f43714bf-71b1-4909-906e-96b5eb0983a7 | origin_city: Felixstowe | destination_city: Abu Dhabi | origin_country: United Kingdom | destination_country: UAE | origin_port: Port of Felixstowe | destination_port: Jebel Ali | distance_km: 1987.31 | average_transit_days: 6 | route_risk: Low | traffic_index: 32
route_id: c3856cd7-bd7f-4103-809e-de1d13853733 | origin_city: Amsterdam | destination_city: Hamburg | origin_country: Netherlands | destination_country: Germany | origin_port: Port of Rotterdam | destination_port: Bremerhaven | distance_km: 3132.01 | average_transit_days: 6 | route_risk: Medium | traffic_index: 40
route_id: 21cf1991-0499-4650-a4f1-677e13bb9c6d | origin_city: Singapore | destination_city: Delhi | origin_country: Singapore | destination_country: India | origin_port: Port of Singapore | destination_port: Chennai Port | distance_km: 7600.03 | average_transit_days: 15 | route_risk: Low | traffic_index: 17
route_id: d48b08ef-7150-4478-b6f6-a4d701b95f1c | origin_city: Dubai | destination_city: London | origin_country: UAE | destination_country: United Kingdom | origin_port: Jebel Ali | destination_port: Port of Felixstowe | distance_km: 6772.36 | average_transit_days: 9 | route_risk: Medium | traffic_index: 50
route_id: 39b20382-e6de-42c9-82f3-a3f10e9fe625 | origin_city: Bremen | destination_city: Mumbai | origin_country: Germany | destination_country: India | origin_port: Port of Hamburg | destination_port: Kolkata Port | distance_km: 6606.73 | average_transit_days: 8 | route_risk: Low | traffic_index: 39
route_id: f894290b-40cb-40cc-a0a4-4da6672fe3d0 | origin_city: Ahmedabad | destination_city: Singapore | origin_country: India | destination_country: Singapore | origin_port: Chennai Port | destination_port: Port of Singapore | distance_km: 3822.82 | average_transit_days: 11 | route_risk: Low | traffic_index: 34
route_id: e7733b69-62ea-432b-bc01-d254b4104a75 | origin_city: Amsterdam | destination_city: Yokohama | origin_country: Netherlands | destination_country: Japan | origin_port: Port of Rotterdam | destination_port: Port of Osaka | distance_km: 3836.56 | average_transit_days: 7 | route_risk: Medium | traffic_index: 50
route_id: 85ec4eee-9025-4d1e-88ec-6a5ecad7057c | origin_city: Incheon | destination_city: Felixstowe | origin_country: South Korea | destination_country: United Kingdom | origin_port: Port of Busan | destination_port: London Gateway | distance_km: 4944.87 | average_transit_days: 12 | route_risk: Low | traffic_index: 33
route_id: 5ba1bab2-43bd-4866-bc7f-faddf2b37496 | origin_city: Abu Dhabi | destination_city: Hamburg | origin_country: UAE | destination_country: Germany | origin_port: Jebel Ali | destination_port: Port of Hamburg | distance_km: 8531.54 | average_transit_days: 18 | route_risk: High | traffic_index: 65
route_id: 8bc7957f-3ff1-4716-9108-7cd7a23e1530 | origin_city: Los Angeles | destination_city: Houston | origin_country: United States | destination_country: United States | origin_port: Port Newark | destination_port: Port of LA | distance_km: 199.75 | average_transit_days: 5 | route_risk: Low | traffic_index: 27
route_id: 00e52fe2-c4eb-4cb2-a87a-ce803aa2a9eb | origin_city: Bremen | destination_city: Ahmedabad | origin_country: Germany | destination_country: India | origin_port: Port of Hamburg | destination_port: Mundra Port | distance_km: 2833.94 | average_transit_days: 5 | route_risk: Medium | traffic_index: 59
route_id: 13e406a3-a561-40e6-a7d9-8553b81143a4 | origin_city: Dubai | destination_city: Rotterdam | origin_country: UAE | destination_country: Netherlands | origin_port: Jebel Ali | destination_port: Port of Rotterdam | distance_km: 5273.73 | average_transit_days: 8 | route_risk: Low | traffic_index: 18
