Sheet Name: Shipment_Delivery_History

history_id: 09a35845-c050-47bf-badb-06bc4fb95131 | shipment_id: 5fd50c5c-973f-43bc-a629-06e4b5cd541b | actual_delivery_date: 2026-01-13 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: c565c006-cfaf-4723-a6bc-02a93924f3df | shipment_id: 0b3e6b43-595b-47e2-b040-e49c8abc0fc3 | actual_delivery_date: 2025-09-14 00:00:00 | delivery_status: Delayed | delivery_attempts: 1
history_id: 9ebd52c3-5c48-4685-82ba-ddb07316ae87 | shipment_id: eb90f8ca-5c5e-4cf8-942a-d65b9c1d8fd1 | actual_delivery_date: 2026-04-15 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: fa70e7f5-481e-4ef0-925b-859ff9e1c477 | shipment_id: 191fe38a-84f0-4897-83f3-9a017c58ff3b | actual_delivery_date: 2025-09-18 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 7bafb062-044f-4bff-b6e2-e8d7df4aa928 | shipment_id: 7412c2d3-27ea-4c30-82a6-52ec50628f39 | actual_delivery_date: 2025-03-14 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 4b62ad11-6858-4e2f-bb51-e1d00228b2a4 | shipment_id: 73a69323-1d7f-42d2-849c-be60d0644392 | actual_delivery_date: 2025-02-28 00:00:00 | delivery_status: Delayed | delivery_attempts: 4
history_id: 2fa36a77-80df-4c3e-8c83-1d7cc61e190a | shipment_id: 6cfe3c87-a603-4517-9471-1a5c2bff4922 | actual_delivery_date: 2025-12-31 00:00:00 | delivery_status: Delayed | delivery_attempts: 2
history_id: 986e5852-528d-40d7-8282-32ee88405f3e | shipment_id: 944b0f0f-5828-4038-b55e-3782cd646852 | actual_delivery_date: 2025-05-02 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 04b756df-6cde-4720-bb39-1a20cab3d3ea | shipment_id: c4288638-6002-4895-b2a2-2532892a5873 | actual_delivery_date: 2025-09-06 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 7e75b1ac-5ce4-4c0c-80b0-0306b84cda4c | shipment_id: dc3c6115-c547-47b6-a02e-d6a0d3aab8cc | actual_delivery_date: 2025-11-23 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: f64a4b24-1fb7-4a9b-8ce1-388946f53994 | shipment_id: edfb13c9-5c5c-4efa-ac76-6a249f734b1b | actual_delivery_date: 2025-03-21 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 0e883021-8a95-44c5-9a20-bf4e9771eca7 | shipment_id: 577c2cd1-818c-4499-be55-334e5e7baac5 | actual_delivery_date: 2025-03-28 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 698f515c-0245-4622-9968-67c8ad419415 | shipment_id: ff378584-ae85-409c-9049-0d9b8b25a168 | actual_delivery_date: 2025-10-14 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
