Sheet Name: Shipments

shipment_id: 5fd50c5c-973f-43bc-a629-06e4b5cd541b | booking_id: ALC-2025-100000 | customer_id: 8f429dcf-8ec1-414b-9ba1-3cf9bee03dd9 | product_id: aa603d29-62c7-4256-aebf-e03cd57b1bd4 | carrier_id: 0d6bede1-9f61-4459-bb5c-32013d10e53b | warehouse_id: ee447931-f470-45fb-8df5-ef1167dc7fda | route_id: 90686ae5-7c43-46dd-8742-7cdf4561089c | vehicle_id: 9bdb03eb-36f7-4356-b175-e4a30b38affa | customs_id: 4345ef94-48fe-47d0-a93d-e413e1efcd7b | weather_id: 3138bd22-56a2-45c2-8a9a-43da64e93cdd | booking_date: 2025-12-29 00:00:00 | ship_date: 2026-01-08 00:00:00 | expected_delivery_date: 2026-01-13 00:00:00 | shipping_mode: Sea | shipment_type: Import | priority: Normal | weight_kg: 122.19 | volume_cbm: 37.42 | declared_value: 165766.99 | insurance: True | fragile: False
shipment_id: 0b3e6b43-595b-47e2-b040-e49c8abc0fc3 | booking_id: ALC-2025-100001 | customer_id: 991785eb-3ca0-46e6-873e-accc35e1d87b | product_id: a198a306-85c7-4e8b-bfdb-7756e3a1cd93 | carrier_id: b8372efa-b8d4-45e1-8dec-757c7587f65b | warehouse_id: 6fd08e33-4515-4406-b3c8-431938dfd4d2 | route_id: 36e999d6-a0a8-464b-8c45-4d28d99effec | vehicle_id: fd4aa948-6fc6-45f9-8b35-926c0388a2fc | customs_id: e17e4a0d-e32e-4762-b687-26fd7b7a8a4d | weather_id: 3bbd1b3f-bc3a-48bf-ae7a-303c75d4c2ca | booking_date: 2025-08-28 00:00:00 | ship_date: 2025-08-31 00:00:00 | expected_delivery_date: 2025-09-09 00:00:00 | shipping_mode: Road | shipment_type: Import | priority: Urgent | weight_kg: 29577.52 | volume_cbm: 48.55 | declared_value: 175634.75 | insurance: True | fragile: False
shipment_id: eb90f8ca-5c5e-4cf8-942a-d65b9c1d8fd1 | booking_id: ALC-2026-100002 | customer_id: 632c17a0-5e48-4edc-95e1-c7b58fdda668 | product_id: d8975dbb-ab89-499a-bde3-c6773d0b9ff2 | carrier_id: 5628f377-5ed6-44c2-ac63-6d1113282e3e | warehouse_id: b6e4f9f0-3d14-401e-b94f-5d897cefda23 | route_id: 9ad7eaa7-73ed-45a4-8548-07062a644460 | vehicle_id: d642c74f-96c3-4893-901d-5313c8fb2c1e | customs_id: 889eb64d-4894-408d-b686-e64e34900285 | weather_id: 76e7e09f-8684-4cbc-b76e-125cfa8a392e | booking_date: 2026-03-31 00:00:00 | ship_date: 2026-04-06 00:00:00 | expected_delivery_date: 2026-04-16 00:00:00 | shipping_mode: Sea | shipment_type: Import | priority: Low | weight_kg: 24155.95 | volume_cbm: 53.27 | declared_value: 126240.71 | insurance: False | fragile: False
shipment_id: 191fe38a-84f0-4897-83f3-9a017c58ff3b | booking_id: ALC-2025-100003 | customer_id: 7bee5a16-e3cf-49e4-9759-2124249462d6 | product_id: 4e77711a-2248-454c-8d6d-6fe6c2b240de | carrier_id: 2098b318-788c-443c-af60-4c4a7d7738fd | warehouse_id: a4501d59-7ca3-49c0-8386-c3d7e61f9d64 | route_id: 1c6ad978-f0d8-46aa-9b7a-9392f5d9ad89 | vehicle_id: ef60920a-71a9-4677-9ee7-128c783bfda0 | customs_id: a41952d0-4133-4a16-82cc-f7ea099dc935 | weather_id: 0503b3dc-1b95-4dd4-959c-798bd9c3ba1d | booking_date: 2025-09-04 00:00:00 | ship_date: 2025-09-12 00:00:00 | expected_delivery_date: 2025-09-18 00:00:00 | shipping_mode: Sea | shipment_type: Export | priority: Normal | weight_kg: 3021.28 | volume_cbm: 58.73 | declared_value: 180878.03 | insurance: True | fragile: False
shipment_id: 7412c2d3-27ea-4c30-82a6-52ec50628f39 | booking_id: ALC-2025-100004 | customer_id: a72f97af-0811-4f8b-bf58-5bf96dae6384 | product_id: ab10095c-a1f5-458d-adca-dc58b7baaf78 | carrier_id: 1db6519d-a1a7-4aef-a9cb-723e3a391c35 | warehouse_id: 5ac1e232-34b0-4b55-819a-ab340db4d368 | route_id: 8c91659c-915c-4eec-86ef-777598492347 | vehicle_id: 595029d1-5746-4181-9351-087575d5b10b | customs_id: 8c565b95-ff95-4593-8c5e-e4bbba940109 | weather_id: 8f1ffe50-3a3e-401b-b509-4096122fa0d3 | booking_date: 2025-02-17 00:00:00 | ship_date: 2025-02-21 00:00:00 | expected_delivery_date: 2025-03-14 00:00:00 | shipping_mode: Road | shipment_type: Import | priority: Normal | weight_kg: 40340.79 | volume_cbm: 49.16 | declared_value: 233937.09 | insurance: True | fragile: False
shipment_id: 73a69323-1d7f-42d2-849c-be60d0644392 | booking_id: ALC-2025-100005 | customer_id: 13e882df-3f55-49ac-8dd8-b21f34419df9 | product_id: d2cd4207-00ad-407c-bd69-4f2e693fee11 | carrier_id: 70b4e17a-fca7-452d-bf3c-6c555e8c33ae | warehouse_id: 8617aec9-0e7b-4f3e-90c8-f314712c7247 | route_id: 9b8aeb57-089d-4500-87bd-b39554762be9 | vehicle_id: f7303e38-638c-411e-8d49-6c3798d83a8d | customs_id: a8c15cd3-dbd8-47e7-a955-2fce98c62eea | weather_id: 61efdb4b-11de-4067-bc2e-dc8734e42298 | booking_date: 2025-01-29 00:00:00 | ship_date: 2025-02-08 00:00:00 | expected_delivery_date: 2025-02-24 00:00:00 | shipping_mode: Sea | shipment_type: Export | priority: Low | weight_kg: 14860.72 | volume_cbm: 55.65 | declared_value: 221900.87 | insurance: True | fragile: False
shipment_id: 6cfe3c87-a603-4517-9471-1a5c2bff4922 | booking_id: ALC-2025-100006 | customer_id: 09ae851b-c7cf-42e9-a05d-f9d9cba74643 | product_id: 31db8852-7b07-4e53-8588-8843dc32c852 | carrier_id: 5c086f60-6c03-4b8b-a2b0-d83f1c7a2856 | warehouse_id: 24abb808-90b9-46d4-b5cd-4bebf2993a71 | route_id: f2569aba-1f95-4e1b-88b7-cdc175d7e1b3 | vehicle_id: bc785547-7b6e-42ed-b97d-e02033b4c76f | customs_id: c68f15e5-f417-4e59-b32a-65abe8aa2376 | weather_id: 669d6893-ae71-4aba-ae7c-4e5324396343 | booking_date: 2025-12-04 00:00:00 | ship_date: 2025-12-07 00:00:00 | expected_delivery_date: 2025-12-26 00:00:00 | shipping_mode: Sea | shipment_type: Import | priority: Normal | weight_kg: 33770.16 | volume_cbm: 69.13 | declared_value: 121953.74 | insurance: True | fragile: False
shipment_id: 944b0f0f-5828-4038-b55e-3782cd646852 | booking_id: ALC-2025-100007 | customer_id: eeedbfc4-98c2-49f9-a26a-cdac78d78118 | product_id: 8ea92a09-3525-4597-8d5a-15f92f5555d5 | carrier_id: a7e1a84c-d856-4ed6-a20b-64dea045cf53 | warehouse_id: e7a8bc9c-890c-4d7f-9cc3-d51530299376 | route_id: edd174f0-ce69-4b22-8323-a0d5663c153b | vehicle_id: 25bd6cc8-f06c-4d04-ba1c-e26aaab717fc | customs_id: bbbdccfa-2729-42ee-9f02-6d117bb7add0 | weather_id: 2a3937bf-1897-438e-b253-cd373be83c43 | booking_date: 2025-04-25 00:00:00 | ship_date: 2025-04-27 00:00:00 | expected_delivery_date: 2025-05-02 00:00:00 | shipping_mode: Rail | shipment_type: Import | priority: High | weight_kg: 9839.88 | volume_cbm: 41.06 | declared_value: 120255.47 | insurance: False | fragile: False
shipment_id: c4288638-6002-4895-b2a2-2532892a5873 | booking_id: ALC-2025-100008 | customer_id: 1b5ad2b9-bf32-450b-be80-4f40aa5b16c2 | product_id: 6afcede2-d7ba-4c28-8184-d70ac9735fc0 | carrier_id: 6a57da7e-2dcc-40c6-ad9a-547818e3f139 | warehouse_id: a453651b-1762-4a7f-93ea-550b6c753d89 | route_id: 2009a0b9-16a7-474c-ab8b-3c6369191fe4 | vehicle_id: a8fb174d-2bf7-4812-80b5-64ea9fceaf7c | customs_id: 5b4e3d5d-baf6-47cc-87bd-5c5e681fcbf5 | weather_id: 53df32e6-19d4-4b3a-94e8-241abd4caa1b | booking_date: 2025-08-17 00:00:00 | ship_date: 2025-08-20 00:00:00 | expected_delivery_date: 2025-09-06 00:00:00 | shipping_mode: Road | shipment_type: Import | priority: Normal | weight_kg: 8347.65 | volume_cbm: 54.3 | declared_value: 63139.32 | insurance: False | fragile: False
shipment_id: dc3c6115-c547-47b6-a02e-d6a0d3aab8cc | booking_id: ALC-2025-100009 | customer_id: a378e7ce-df87-4d15-b277-2f5e024a4739 | product_id: 88da4d8a-3a1a-4f84-b9f9-23d2374678b0 | carrier_id: 31fb165c-367f-4f1d-96fa-8a5b394a0d6c | warehouse_id: 988bd2a0-aa81-4795-84af-84f9d2804105 | route_id: 9182888d-fa70-44c6-96f6-886bb5bdeaf0 | vehicle_id: a81d564a-bfcf-4eb3-af92-f89338eeeb11 | customs_id: 7904e697-9d7b-4817-80a9-1b23418f8a30 | weather_id: 47db141b-1e17-4afd-bb68-db34c8d3dd24 | booking_date: 2025-11-05 00:00:00 | ship_date: 2025-11-12 00:00:00 | expected_delivery_date: 2025-11-23 00:00:00 | shipping_mode: Sea | shipment_type: Import | priority: Urgent | weight_kg: 5042.36 | volume_cbm: 16.64 | declared_value: 25662.07 | insurance: True | fragile: False
shipment_id: edfb13c9-5c5c-4efa-ac76-6a249f734b1b | booking_id: ALC-2025-100010 | customer_id: 4222aae6-da72-41c0-aca5-37d006a2a08c | product_id: 2ab680b0-49a7-4463-8452-ea518414b197 | carrier_id: 11a1c86e-d81e-4f62-b28c-5d88ef0125b4 | warehouse_id: 7171ed5d-3d58-4331-b4bc-9c18195fbc5a | route_id: ae87c739-d482-4d2e-bc30-76adacf70748 | vehicle_id: 5c6b66be-1e5b-431f-b690-2ff937bf66c2 | customs_id: b578ac79-0234-402d-95d5-c588f3b35409 | weather_id: ce8c1aa6-a50c-4c28-bf28-e71760d6c378 | booking_date: 2025-03-01 00:00:00 | ship_date: 2025-03-09 00:00:00 | expected_delivery_date: 2025-03-22 00:00:00 | shipping_mode: Sea | shipment_type: Import | priority: Low | weight_kg: 47665.96 | volume_cbm: 48.05 | declared_value: 46971.95 | insurance: False | fragile: False
