Sheet Name: Vehicles

vehicle_id: a7a7c694-8da6-4c10-a00e-367e67b16b2d | vehicle_number: RA-3523-1 | vehicle_type: Rail | capacity_kg: 435344.38 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 12
vehicle_id: 3bbb8d1f-7437-414c-b6c5-54811ee9b089 | vehicle_number: AI-2594-2 | vehicle_type: Aircraft | capacity_kg: 42726.82 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 3
vehicle_id: f4219601-9795-4759-869e-4ba51327cbda | vehicle_number: TR-5957-3 | vehicle_type: Truck | capacity_kg: 16269.83 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 16
vehicle_id: 6e850d52-93d8-42de-a565-7feb0bb09885 | vehicle_number: RA-3416-4 | vehicle_type: Rail | capacity_kg: 524675.65 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 1
vehicle_id: d1487706-470f-4a6e-854d-e3e210944aa2 | vehicle_number: AI-9426-5 | vehicle_type: Aircraft | capacity_kg: 103494.47 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 17
vehicle_id: 169e89d4-5681-443a-959c-f6fecc59ced4 | vehicle_number: SH-8084-6 | vehicle_type: Ship | capacity_kg: 12081451.59 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 3
vehicle_id: 10df08f7-1b0e-48b2-a4a5-d4c3d3114822 | vehicle_number: AI-3272-7 | vehicle_type: Aircraft | capacity_kg: 71015.96 | fuel_type: Diesel | maintenance_status: Under Maintenance | vehicle_age: 15
vehicle_id: c21645c9-5da6-4839-84c8-1d5aa2220bab | vehicle_number: TR-3378-8 | vehicle_type: Truck | capacity_kg: 18206.46 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 6
vehicle_id: 45ee22f4-c096-4047-8b70-c6cdf898740e | vehicle_number: SH-5531-9 | vehicle_type: Ship | capacity_kg: 16269524.57 | fuel_type: CNG | maintenance_status: Due Soon | vehicle_age: 5
vehicle_id: 2c0993d4-a194-4221-9f8c-57b7f9e925dc | vehicle_number: SH-1395-10 | vehicle_type: Ship | capacity_kg: 1428673.38 | fuel_type: Jet Fuel | maintenance_status: Good | vehicle_age: 3
vehicle_id: 0948efd9-9b14-45ec-bd48-f5569f2a3012 | vehicle_number: AI-6374-11 | vehicle_type: Aircraft | capacity_kg: 109689.12 | fuel_type: Electric | maintenance_status: Good | vehicle_age: 3
