Sheet Name: Warehouses

warehouse_id: 990fca17-5717-4846-9322-f136d8bf02f2 | warehouse_name: Kolkata Distribution Center 1 | city: Kolkata | state: Telangana | warehouse_capacity: 41441 | current_utilization: 85.09 | warehouse_type: Regional
warehouse_id: b8f03f8f-2f61-4b7d-938a-ac4ec9859986 | warehouse_name: Rotterdam Bonded Warehouse 2 | city: Rotterdam | state: Rotterdam | warehouse_capacity: 113408 | current_utilization: 48.06 | warehouse_type: Bonded
warehouse_id: c14c503a-7156-4257-ba33-df2ab8f94eee | warehouse_name: Sharjah Distribution Center 3 | city: Sharjah | state: Sharjah | warehouse_capacity: 94476 | current_utilization: 78.56 | warehouse_type: Distribution
warehouse_id: 5fa90c08-6910-4468-8102-04cc537ece37 | warehouse_name: Busan Distribution Center 4 | city: Busan | state: Busan | warehouse_capacity: 68375 | current_utilization: 76.03 | warehouse_type: Regional
warehouse_id: 9954930e-d844-419c-9aac-07183d4b2d22 | warehouse_name: London Fulfilment Center 5 | city: London | state: London | warehouse_capacity: 67404 | current_utilization: 78.65 | warehouse_type: Distribution
warehouse_id: f8a4da8c-cccd-4198-b23c-a6943dfbfaa4 | warehouse_name: New York Regional Hub 6 | city: New York | state: New York | warehouse_capacity: 119870 | current_utilization: 71.33 | warehouse_type: Distribution
warehouse_id: 449d5040-a325-4323-b86a-3ec4b689e4f8 | warehouse_name: Singapore Bonded Warehouse 7 | city: Singapore | state: Singapore | warehouse_capacity: 73848 | current_utilization: 57.22 | warehouse_type: Regional
warehouse_id: 8573d6bb-2741-4ea7-843e-c3c116612077 | warehouse_name: Los Angeles Distribution Center 8 | city: Los Angeles | state: Los Angeles | warehouse_capacity: 74487 | current_utilization: 61.95 | warehouse_type: Regional
warehouse_id: a9e02d83-7f41-4316-ba55-1e21a790dbd7 | warehouse_name: Bremen Bonded Warehouse 9 | city: Bremen | state: Bremen | warehouse_capacity: 116972 | current_utilization: 77.5 | warehouse_type: Distribution
warehouse_id: 7e62f72e-73d7-4ede-9a2d-5871542d6eb8 | warehouse_name: Manchester Distribution Center 10 | city: Manchester | state: Manchester | warehouse_capacity: 117184 | current_utilization: 70.14 | warehouse_type: Distribution
warehouse_id: b5b3c257-c6bf-40e6-b0c1-65dc7e5e8356 | warehouse_name: Singapore Bonded Warehouse 11 | city: Singapore | state: Singapore | warehouse_capacity: 103689 | current_utilization: 57.82 | warehouse_type: Distribution
warehouse_id: 1bbacb09-4686-49af-821a-732f86f69b43 | warehouse_name: Hamburg Bonded Warehouse 12 | city: Hamburg | state: Hamburg | warehouse_capacity: 115403 | current_utilization: 68.47 | warehouse_type: Regional
warehouse_id: 8c15c593-c618-461a-92ca-4bd3634f4edc | warehouse_name: Tokyo Distribution Center 13 | city: Tokyo | state: Tokyo | warehouse_capacity: 47258 | current_utilization: 72.8 | warehouse_type: Regional
warehouse_id: 988d01e1-e2de-4c36-8bd3-000fb1cd611a | warehouse_name: Amsterdam Bonded Warehouse 14 | city: Amsterdam | state: Amsterdam | warehouse_capacity: 97326 | current_utilization: 79.19 | warehouse_type: Regional
warehouse_id: eb33a0a1-eea4-4587-a9ed-c9e454d1e0c2 | warehouse_name: Singapore Bonded Warehouse 15 | city: Singapore | state: Singapore | warehouse_capacity: 118209 | current_utilization: 62.68 | warehouse_type: Distribution
warehouse_id: b459b3bf-6467-4fec-8aac-60af3f51d4fe | warehouse_name: Tokyo Fulfilment Center 16 | city: Tokyo | state: Tokyo | warehouse_capacity: 31055 | current_utilization: 81.98 | warehouse_type: Bonded
warehouse_id: fc8dc93d-550f-4086-9992-d441cbff55af | warehouse_name: Bremen Bonded Warehouse 17 | city: Bremen | state: Bremen | warehouse_capacity: 83240 | current_utilization: 67.58 | warehouse_type: Regional
