Sheet Name: Weather

weather_id: 6740d2f9-10b2-4458-8e77-f07d72eeb2e2 | city: Guangzhou | forecast_date: 2025-09-04 00:00:00 | weather_condition: High Wind | temperature: 26.03 | rainfall: 10.98 | humidity: 30.19 | wind_speed: 39.45 | visibility: 5.13
weather_id: ad60ae64-3b4a-4f93-bcb9-ca1c187cb762 | city: Osaka | forecast_date: 2026-01-14 00:00:00 | weather_condition: Cloudy | temperature: 20.47 | rainfall: 0.55 | humidity: 75.27 | wind_speed: 5.64 | visibility: 7.78
weather_id: 79d2e740-c5f9-4d76-8fa0-ff163e9509fb | city: Frankfurt | forecast_date: 2025-11-08 00:00:00 | weather_condition: Heavy Rain | temperature: 33.34 | rainfall: 69.6 | humidity: 46.37 | wind_speed: 3.86 | visibility: 3.04
weather_id: 0192617c-038f-47ac-bd12-21877b48ed78 | city: Felixstowe | forecast_date: 2025-08-08 00:00:00 | weather_condition: Rain | temperature: 26.8 | rainfall: 10.01 | humidity: 55.87 | wind_speed: 16.05 | visibility: 9.4
weather_id: 33479129-fd5c-4628-aae9-3b8d4501a1fe | city: Los Angeles | forecast_date: 2025-11-13 00:00:00 | weather_condition: Cloudy | temperature: 26.19 | rainfall: 1.6 | humidity: 74.59 | wind_speed: 3.77 | visibility: 8.27
weather_id: 0e61b0dc-03b2-4ff8-bc70-9b3ffd3e7dcd | city: Sharjah | forecast_date: 2026-01-26 00:00:00 | weather_condition: Heavy Rain | temperature: 30.85 | rainfall: 71.86 | humidity: 45.7 | wind_speed: 4.38 | visibility: 1.09
weather_id: 897773d6-2f37-4e14-858d-0b2f8f1faf17 | city: Felixstowe | forecast_date: 2025-03-06 00:00:00 | weather_condition: Clear | temperature: 16.5 | rainfall: 0.0 | humidity: 44.07 | wind_speed: 24.26 | visibility: 10.02
weather_id: c9caaaa7-7942-43d9-833d-834d5cfb1c5c | city: Chennai | forecast_date: 2025-08-23 00:00:00 | weather_condition: Storm | temperature: 29.42 | rainfall: 91.02 | humidity: 66.85 | wind_speed: 52.45 | visibility: 2.39
weather_id: b8d15f5e-6c4f-4c44-a0ee-b8fe57dd1c95 | city: Houston | forecast_date: 2025-05-03 00:00:00 | weather_condition: Clear | temperature: 35.54 | rainfall: 0.0 | humidity: 85.36 | wind_speed: 31.17 | visibility: 14.68
weather_id: 999ea19d-260b-45c7-81c8-3a29f758a98c | city: Ningbo | forecast_date: 2025-09-23 00:00:00 | weather_condition: Cloudy | temperature: 20.89 | rainfall: 1.94 | humidity: 59.85 | wind_speed: 25.45 | visibility: 11.97
weather_id: 5533ceb1-2cb7-4995-9bf6-24e843170823 | city: Singapore | forecast_date: 2026-04-24 00:00:00 | weather_condition: Cloudy | temperature: 21.62 | rainfall: 3.69 | humidity: 86.51 | wind_speed: 27.65 | visibility: 11.44
weather_id: ac6acf79-1110-49dc-9387-c8d646640703 | city: Chicago | forecast_date: 2025-03-10 00:00:00 | weather_condition: Clear | temperature: 34.52 | rainfall: 0.0 | humidity: 87.0 | wind_speed: 32.34 | visibility: 11.52
weather_id: 39054c8a-27a7-484d-ac24-a1d5baeff2cc | city: Bengaluru | forecast_date: 2026-01-15 00:00:00 | weather_condition: Cloudy | temperature: 28.24 | rainfall: 3.77 | humidity: 64.22 | wind_speed: 26.91 | visibility: 6.18
weather_id: c94114a7-ef8e-4a18-90a6-0333e31d5578 | city: Incheon | forecast_date: 2026-02-13 00:00:00 | weather_condition: Clear | temperature: 31.95 | rainfall: 0.0 | humidity: 64.98 | wind_speed: 30.02 | visibility: 14.99
weather_id: 622211f6-2e4f-4eca-9a4b-aff32a967249 | city: Hyderabad | forecast_date: 2026-01-06 00:00:00 | weather_condition: Cloudy | temperature: 13.94 | rainfall: 2.81 | humidity: 44.3 | wind_speed: 18.22 | visibility: 9.01
weather_id: a651bbf3-d502-4240-aae0-27b3a45f16b3 | city: Sharjah | forecast_date: 2025-04-20 00:00:00 | weather_condition: Fog | temperature: 5.43 | rainfall: 1.39 | humidity: 70.37 | wind_speed: 12.35 | visibility: 0.34
weather_id: 0a93efb0-f77f-4fa9-ac6a-2bb16bd73906 | city: Hamburg | forecast_date: 2025-02-22 00:00:00 | weather_condition: Clear | temperature: 13.12 | rainfall: 0.0 | humidity: 90.93 | wind_speed: 5.65 | visibility: 7.98
weather_id: 143df103-e2c9-409d-9b50-0a9238452aa5 | city: Incheon | forecast_date: 2026-04-16 00:00:00 | weather_condition: Heavy Rain | temperature: 10.01 | rainfall: 55.74 | humidity: 67.49 | wind_speed: 5.35 | visibility: 2.27
weather_id: 79067d2b-c7dc-488f-bf94-e86a31e5abb0 | city: Houston | forecast_date: 2026-01-22 00:00:00 | weather_condition: Fog | temperature: 4.47 | rainfall: 11.38 | humidity: 47.96 | wind_speed: 30.72 | visibility: 0.5
weather_id: 56577622-ef44-47c7-b6bb-087bbf8bad5f | city: Rotterdam | forecast_date: 2025-01-09 00:00:00 | weather_condition: Storm | temperature: 20.93 | rainfall: 141.93 | humidity: 86.53 | wind_speed: 89.35 | visibility: 1.46
